Ticker,PnL%,Reason,Hold,EntryDate,ExitDate
MOTILALOFS.NS,-4.43,Tight Trail -8%,18,2020-01-09,2020-01-27
GODFRYPHLP.NS,-3.24,Tight Trail -8%,50,2019-12-10,2020-01-29
LINDEINDIA.NS,23.1,Target +20%,50,2019-12-10,2020-01-29
NIACL.NS,-1.93,Tight Trail -8%,55,2019-12-10,2020-02-03
BERGEPAINT.NS,21.24,Target +20%,88,2019-11-08,2020-02-04
ALKYLAMINE.NS,22.05,Target +20%,32,2020-01-09,2020-02-10
JPPOWER.NS,-10.26,Tight Trail -8%,6,2020-02-07,2020-02-13
JMFINANCIL.NS,-8.94,Tight Trail -8%,10,2020-02-07,2020-02-17
ABREL.NS,-7.91,Tight Trail -8%,18,2020-02-07,2020-02-25
LINDEINDIA.NS,-1.49,Tight Trail -8%,18,2020-02-07,2020-02-25
GUJGASLTD.NS,-9.3,Tight Trail -8%,21,2020-02-07,2020-02-28
PIDILITIND.NS,21.07,Target +20%,151,2019-10-07,2020-03-06
ALKYLAMINE.NS,-12.79,Tight Trail -8%,1,2020-03-11,2020-03-12
ASIANPAINT.NS,-1.85,Tight Trail -8%,161,2019-10-07,2020-03-16
METROPOLIS.NS,-8.5,Tight Trail -8%,5,2020-03-11,2020-03-16
BASF.NS,-5.93,Tight Trail -8%,6,2020-03-11,2020-03-17
NIACL.NS,-7.58,Tight Trail -8%,9,2020-04-15,2020-04-24
AARTIIND.NS,21.17,Target +20%,13,2020-04-15,2020-04-28
BASF.NS,-10.5,Tight Trail -8%,19,2020-04-15,2020-05-04
ITC.NS,-8.08,Tight Trail -8%,19,2020-04-15,2020-05-04
TORNTPOWER.NS,1.39,Tight Trail -8%,23,2020-04-15,2020-05-08
IGL.NS,-1.73,Tight Trail -8%,33,2020-04-15,2020-05-18
RPOWER.NS,22.22,Target +20%,20,2020-05-15,2020-06-04
AARTIIND.NS,-12.34,Tight Trail -8%,20,2020-05-15,2020-06-04
ALKYLAMINE.NS,23.15,Target +20%,39,2020-05-15,2020-06-23
SYNGENE.NS,24.23,Target +20%,39,2020-05-15,2020-06-23
RPOWER.NS,23.21,Target +20%,7,2020-06-16,2020-06-23
JPPOWER.NS,20.69,Target +20%,8,2020-06-16,2020-06-24
ATGL.NS,25.11,Target +20%,9,2020-06-16,2020-06-25
NIACL.NS,-10.54,Tight Trail -8%,9,2020-06-16,2020-06-25
ICICIGI.NS,-9.04,Tight Trail -8%,13,2020-06-16,2020-06-29
IEX.NS,-6.67,Tight Trail -8%,35,2020-06-16,2020-07-21
CDSL.NS,27.47,Target +20%,41,2020-06-16,2020-07-27
RPOWER.NS,-1.45,Tight Trail -8%,13,2020-07-15,2020-07-28
JPPOWER.NS,22.22,Target +20%,16,2020-07-15,2020-07-31
ALKYLAMINE.NS,21.68,Target +20%,29,2020-07-15,2020-08-13
LEMONTREE.NS,30.24,Target +20%,29,2020-07-15,2020-08-13
LEMONTREE.NS,-9.6,Tight Trail -8%,4,2020-08-13,2020-08-17
JPPOWER.NS,-11.11,Tight Trail -8%,5,2020-08-13,2020-08-18
TATAPOWER.NS,20.25,Target +20%,35,2020-07-15,2020-08-19
ANANTRAJ.NS,30.75,Target +20%,11,2020-08-13,2020-08-24
ATGL.NS,24.41,Target +20%,41,2020-07-15,2020-08-25
SYNGENE.NS,21.23,Target +20%,41,2020-07-15,2020-08-25
PRESTIGE.NS,1.64,Tight Trail -8%,12,2020-08-13,2020-08-25
RPOWER.NS,-10.53,Tight Trail -8%,18,2020-08-13,2020-08-31
