Ticker,PnL%,Reason,Hold,EntryDate,ExitDate
RAINBOW.NS,61.06,Wide Trail -20%,498,2022-10-25,2024-03-06
FACT.NS,59.79,Wide Trail -20%,250,2023-06-30,2024-03-06
SUZLON.NS,104.22,Wide Trail -20%,219,2023-07-31,2024-03-06
INOXWIND.NS,50.31,Wide Trail -20%,93,2023-12-04,2024-03-06
CYIENT.NS,65.3,Wide Trail -20%,316,2023-05-02,2024-03-13
ACE.NS,-20.15,Wide Trail -20%,57,2024-04-08,2024-06-04
KIRLOSENG.NS,332.5,Wide Trail -20%,650,2022-10-25,2024-08-05
THERMAX.NS,-1.82,Wide Trail -20%,120,2024-04-08,2024-08-06
FORCEMOT.NS,183.52,Wide Trail -20%,434,2023-06-30,2024-09-06
CARBORUNIV.NS,-13.42,Wide Trail -20%,118,2024-06-11,2024-10-07
JYOTICNC.NS,-14.6,Wide Trail -20%,104,2024-07-11,2024-10-23
PTCIL.NS,-20.46,Wide Trail -20%,105,2024-07-11,2024-10-24
GRAVITA.NS,15.31,Wide Trail -20%,73,2024-08-12,2024-10-24
SUZLON.NS,-16.04,Wide Trail -20%,74,2024-08-12,2024-10-25
INOXWIND.NS,-14.92,Wide Trail -20%,44,2024-09-11,2024-10-25
KSB.NS,177.64,Wide Trail -20%,888,2022-05-25,2024-10-29
AIAENG.NS,60.96,Wide Trail -20%,832,2022-07-22,2024-10-31
COALINDIA.NS,181.95,Wide Trail -20%,965,2022-03-23,2024-11-12
CUMMINSIND.NS,10.42,Wide Trail -20%,227,2024-04-08,2024-11-21
THERMAX.NS,-24.96,Wide Trail -20%,49,2024-11-11,2024-12-30
NATIONALUM.NS,-12.6,Wide Trail -20%,56,2024-11-11,2025-01-06
KIRLOSBROS.NS,-23.02,Wide Trail -20%,43,2024-12-12,2025-01-24
GVT&D.NS,72.69,Wide Trail -20%,328,2024-03-05,2025-01-27
FORTIS.NS,-6.85,Wide Trail -20%,78,2024-11-11,2025-01-28
RAINBOW.NS,-16.87,Wide Trail -20%,92,2024-11-11,2025-02-11
PTCIL.NS,-25.99,Wide Trail -20%,8,2025-02-10,2025-02-18
MAXHEALTH.NS,-17.42,Wide Trail -20%,88,2024-12-12,2025-03-10
M&M.NS,99.94,Wide Trail -20%,957,2022-08-24,2025-04-07
CHAMBLFERT.NS,0.68,Wide Trail -20%,109,2025-02-10,2025-05-30
INTELLECT.NS,-20.31,Wide Trail -20%,49,2025-06-17,2025-08-05
NH.NS,12.69,Wide Trail -20%,147,2025-03-12,2025-08-06
FORCEMOT.NS,137.62,Wide Trail -20%,180,2025-03-12,2025-09-08
GODREJIND.NS,-5.5,Wide Trail -20%,175,2025-04-16,2025-10-08
FORCEMOT.NS,-20.2,Wide Trail -20%,22,2025-09-16,2025-10-08
SUMICHEM.NS,-6.35,Wide Trail -20%,181,2025-04-16,2025-10-14
COROMANDEL.NS,0.99,Wide Trail -20%,184,2025-04-16,2025-10-17
OLAELEC.NS,-19.99,Wide Trail -20%,25,2025-10-16,2025-11-10
BEML.NS,-13.01,Wide Trail -20%,157,2025-06-17,2025-11-21
GMDCLTD.NS,-20.49,Wide Trail -20%,39,2025-10-16,2025-11-24
FACT.NS,-22.81,Wide Trail -20%,174,2025-06-17,2025-12-08
MEDANTA.NS,-11.97,Wide Trail -20%,244,2025-04-16,2025-12-16
ATHERENERG.NS,-11.86,Wide Trail -20%,96,2025-10-16,2026-01-20
GRAVITA.NS,-20.11,Wide Trail -20%,41,2025-12-17,2026-01-27
