Ticker,PnL%,Reason,Hold,EntryDate,ExitDate
ANGELONE.NS,11.34,Trail -12%,29,2021-05-20,2021-06-18
RPOWER.NS,-5.05,Trail -12%,7,2021-06-18,2021-06-25
JPPOWER.NS,-5.13,Trail -12%,7,2021-06-18,2021-06-25
TTML.NS,53.05,Trail -12%,21,2021-06-18,2021-07-09
HFCL.NS,48.86,Trail -12%,27,2021-06-18,2021-07-15
POONAWALLA.NS,24.9,Trail -12%,92,2021-04-19,2021-07-20
TTML.NS,-13.91,Trail -12%,4,2021-07-19,2021-07-23
HFCL.NS,-14.43,Trail -12%,8,2021-07-19,2021-07-27
RPOWER.NS,-14.61,Trail -12%,9,2021-07-19,2021-07-28
KIRLOSBROS.NS,-3.24,Trail -12%,41,2021-06-18,2021-07-29
ANGELONE.NS,48.82,Trail -12%,42,2021-06-18,2021-07-30
GPIL.NS,13.53,Trail -12%,47,2021-06-18,2021-08-04
PRAJIND.NS,-5.37,Trail -12%,54,2021-06-18,2021-08-11
SAREGAMA.NS,75.84,Trail -12%,126,2021-04-19,2021-08-23
ELECON.NS,8.36,Trail -12%,66,2021-06-18,2021-08-23
PNBHOUSING.NS,-12.35,Trail -12%,66,2021-06-18,2021-08-23
TITAGARH.NS,-13.07,Trail -12%,5,2021-08-18,2021-08-23
REDINGTON.NS,-12.34,Trail -12%,16,2021-08-18,2021-09-03
BLS.NS,-14.67,Trail -12%,3,2021-09-20,2021-09-23
TEJASNET.NS,22.78,Trail -12%,63,2021-08-18,2021-10-20
IRCTC.NS,19.75,Trail -12%,30,2021-09-20,2021-10-20
LINDEINDIA.NS,-3.73,Trail -12%,30,2021-09-20,2021-10-20
FLUOROCHEM.NS,12.42,Trail -12%,64,2021-08-18,2021-10-21
ECLERX.NS,-11.55,Trail -12%,64,2021-08-18,2021-10-21
HAPPSTMNDS.NS,-16.19,Trail -12%,98,2021-07-19,2021-10-25
ZENTEC.NS,11.94,Trail -12%,35,2021-09-20,2021-10-25
ZENSARTECH.NS,-13.54,Trail -12%,35,2021-09-20,2021-10-25
IRCTC.NS,-9.29,Trail -12%,5,2021-10-20,2021-10-25
JSWENERGY.NS,42.0,Trail -12%,71,2021-08-18,2021-10-28
GRAVITA.NS,-2.61,Trail -12%,96,2021-08-18,2021-11-22
TATAPOWER.NS,-5.08,Trail -12%,40,2021-10-20,2021-11-29
TRIDENT.NS,24.02,Trail -12%,42,2021-10-20,2021-12-01
OLECTRA.NS,154.67,Trail -12%,111,2021-08-18,2021-12-07
TEJASNET.NS,-11.26,Trail -12%,58,2021-10-20,2021-12-17
IEX.NS,-0.15,Trail -12%,25,2021-11-22,2021-12-17
JBMA.NS,5.95,Trail -12%,28,2021-11-22,2021-12-20
TTML.NS,92.98,Trail -12%,30,2021-11-22,2021-12-22
CGPOWER.NS,16.59,Trail -12%,59,2021-11-22,2022-01-20
PGEL.NS,13.25,Trail -12%,34,2021-12-21,2022-01-24
KPITTECH.NS,31.08,Trail -12%,34,2021-12-21,2022-01-24
TTML.NS,-14.22,Trail -12%,5,2022-01-19,2022-01-24
JBMA.NS,33.76,Trail -12%,49,2021-12-21,2022-02-08
TRIDENT.NS,17.83,Trail -12%,50,2021-12-21,2022-02-09
OLECTRA.NS,-7.73,Trail -12%,55,2021-12-21,2022-02-14
ELGIEQUIP.NS,-13.3,Trail -12%,3,2022-02-18,2022-02-21
JPPOWER.NS,-15.72,Trail -12%,4,2022-02-18,2022-02-22
RHIM.NS,-12.01,Trail -12%,4,2022-02-18,2022-02-22
DBREALTY.NS,-12.89,Trail -12%,5,2022-02-18,2022-02-23
BSE.NS,0.81,Trail -12%,65,2021-12-21,2022-02-24
DEEPAKFERT.NS,-6.32,Trail -12%,38,2022-02-18,2022-03-28
GRAVITA.NS,-14.79,Trail -12%,41,2022-02-18,2022-03-31
BSE.NS,-13.92,Trail -12%,33,2022-03-23,2022-04-25
DBREALTY.NS,-6.58,Trail -12%,34,2022-03-23,2022-04-26
GMDCLTD.NS,38.65,Trail -12%,69,2022-02-18,2022-04-28
BDL.NS,30.07,Trail -12%,36,2022-03-23,2022-04-28
GPIL.NS,5.81,Trail -12%,37,2022-03-23,2022-04-29
BALRAMCHIN.NS,-10.39,Trail -12%,37,2022-03-23,2022-04-29
TRIVENI.NS,-5.32,Trail -12%,42,2022-03-23,2022-05-04
RHIM.NS,-7.1,Trail -12%,44,2022-03-23,2022-05-06
ADANIPOWER.NS,-6.16,Trail -12%,16,2022-04-25,2022-05-11
ADANIPOWER.NS,-1.34,Trail -12%,8,2022-05-25,2022-06-02
SWANCORP.NS,-15.06,Trail -12%,16,2022-05-25,2022-06-10
CHENNPETRO.NS,8.76,Trail -12%,20,2022-05-25,2022-06-14
MRPL.NS,24.12,Trail -12%,20,2022-05-25,2022-06-14
BDL.NS,1.39,Trail -12%,26,2022-05-25,2022-06-20
MRPL.NS,-3.72,Trail -12%,8,2022-06-23,2022-07-01
ELGIEQUIP.NS,-10.66,Trail -12%,11,2022-06-23,2022-07-04
CHENNPETRO.NS,-11.8,Trail -12%,13,2022-06-23,2022-07-06
BLS.NS,21.61,Trail -12%,89,2022-05-25,2022-08-22
SHRIRAMFIN.NS,-12.25,Trail -12%,31,2022-07-22,2022-08-22
APARINDS.NS,34.42,Trail -12%,74,2022-06-23,2022-09-05
TIMKEN.NS,3.88,Trail -12%,56,2022-07-22,2022-09-16
ELECON.NS,18.3,Trail -12%,95,2022-06-23,2022-09-26
ASAHIINDIA.NS,-1.69,Trail -12%,66,2022-07-22,2022-09-26
DEEPAKFERT.NS,-11.87,Trail -12%,33,2022-08-24,2022-09-26
ANANTRAJ.NS,9.85,Trail -12%,35,2022-08-24,2022-09-28
ABB.NS,11.07,Trail -12%,73,2022-07-22,2022-10-03
ADANIENT.NS,0.72,Trail -12%,40,2022-08-24,2022-10-03
TARIL.NS,-3.14,Trail -12%,7,2022-10-25,2022-11-01
INOXWIND.NS,-14.66,Trail -12%,17,2022-10-25,2022-11-11
KIRLOSENG.NS,18.73,Trail -12%,31,2022-10-25,2022-11-25
RVNL.NS,-3.89,Trail -12%,12,2022-11-25,2022-12-07
DATAPATTNS.NS,-7.0,Trail -12%,50,2022-10-25,2022-12-14
TATAINVEST.NS,-10.95,Trail -12%,52,2022-10-25,2022-12-16
UCOBANK.NS,50.36,Trail -12%,25,2022-11-25,2022-12-20
HSCL.NS,-2.71,Trail -12%,119,2022-08-24,2022-12-21
UNIONBANK.NS,6.14,Trail -12%,26,2022-11-25,2022-12-21
MAZDOCK.NS,28.11,Trail -12%,58,2022-10-25,2022-12-22
GRSE.NS,0.26,Trail -12%,58,2022-10-25,2022-12-22
TRITURBINE.NS,-8.27,Trail -12%,58,2022-10-25,2022-12-22
COCHINSHIP.NS,1.47,Trail -12%,58,2022-10-25,2022-12-22
FACT.NS,20.2,Trail -12%,18,2022-12-26,2023-01-13
AIAENG.NS,4.18,Trail -12%,178,2022-07-22,2023-01-16
UCOBANK.NS,-11.11,Trail -12%,32,2022-12-26,2023-01-27
MAZDOCK.NS,-10.32,Trail -12%,32,2022-12-26,2023-01-27
FACT.NS,-12.05,Trail -12%,6,2023-01-24,2023-01-30
UNIONBANK.NS,-9.41,Trail -12%,44,2022-12-26,2023-02-08
J&KBANK.NS,-9.49,Trail -12%,45,2022-12-26,2023-02-09
RVNL.NS,8.71,Trail -12%,49,2022-12-26,2023-02-13
KARURVYSYA.NS,8.0,Trail -12%,115,2022-10-25,2023-02-17
JINDALSAW.NS,2.85,Trail -12%,21,2023-02-23,2023-03-16
SURYAROSNI.NS,-8.03,Trail -12%,32,2023-02-23,2023-03-27
ZENSARTECH.NS,-12.69,Trail -12%,32,2023-02-23,2023-03-27
JSL.NS,8.68,Trail -12%,64,2023-01-24,2023-03-29
ZENTEC.NS,-1.27,Trail -12%,28,2023-03-27,2023-04-24
APARINDS.NS,15.09,Trail -12%,75,2023-02-23,2023-05-09
RVNL.NS,3.0,Trail -12%,8,2023-05-02,2023-05-10
GVT&D.NS,18.61,Trail -12%,21,2023-05-02,2023-05-23
FINCABLES.NS,0.06,Trail -12%,63,2023-03-27,2023-05-29
PGEL.NS,7.3,Trail -12%,148,2023-02-23,2023-07-21
JINDALSAW.NS,133.83,Trail -12%,123,2023-03-27,2023-07-28
ADANIGREEN.NS,-1.21,Trail -12%,68,2023-05-31,2023-08-07
FACT.NS,-3.64,Trail -12%,45,2023-06-30,2023-08-14
NEULANDLAB.NS,37.48,Trail -12%,79,2023-05-31,2023-08-18
ZENTEC.NS,163.37,Trail -12%,134,2023-05-02,2023-09-13
RVNL.NS,38.92,Trail -12%,105,2023-05-31,2023-09-13
SUZLON.NS,16.89,Trail -12%,44,2023-07-31,2023-09-13
IRCON.NS,63.24,Trail -12%,141,2023-05-02,2023-09-20
GVT&D.NS,-12.5,Trail -12%,19,2023-09-29,2023-10-18
POLICYBZR.NS,17.53,Trail -12%,174,2023-05-02,2023-10-23
ADANIENT.NS,-7.36,Trail -12%,145,2023-05-31,2023-10-23
FORCEMOT.NS,29.43,Trail -12%,115,2023-06-30,2023-10-23
MAZDOCK.NS,2.35,Trail -12%,84,2023-07-31,2023-10-23
DBREALTY.NS,-11.52,Trail -12%,24,2023-09-29,2023-10-23
IFCI.NS,-12.7,Trail -12%,24,2023-09-29,2023-10-23
GMDCLTD.NS,11.24,Trail -12%,24,2023-09-29,2023-10-23
TITAGARH.NS,123.67,Trail -12%,178,2023-05-02,2023-10-27
BSE.NS,16.39,Trail -12%,21,2023-11-01,2023-11-22
MAHSEAMLES.NS,-12.81,Trail -12%,14,2023-12-04,2023-12-18
DBREALTY.NS,5.84,Trail -12%,49,2023-11-01,2023-12-20
NIACL.NS,-12.05,Trail -12%,22,2023-12-04,2023-12-26
BSE.NS,-12.3,Trail -12%,28,2023-12-04,2024-01-01
INOXWIND.NS,-11.38,Trail -12%,7,2024-01-03,2024-01-10
ANGELONE.NS,26.63,Trail -12%,76,2023-11-01,2024-01-16
WOCKPHARMA.NS,-14.14,Trail -12%,14,2024-01-03,2024-01-17
PRESTIGE.NS,-9.68,Trail -12%,20,2024-01-03,2024-01-23
TARIL.NS,101.37,Trail -12%,97,2023-11-01,2024-02-06
IRFC.NS,102.96,Trail -12%,133,2023-09-29,2024-02-09
ITI.NS,23.21,Trail -12%,100,2023-11-01,2024-02-09
GMDCLTD.NS,22.12,Trail -12%,100,2023-11-01,2024-02-09
IFCI.NS,106.67,Trail -12%,70,2023-12-04,2024-02-12
NBCC.NS,-19.84,Trail -12%,7,2024-02-05,2024-02-12
IRB.NS,-13.36,Trail -12%,8,2024-02-05,2024-02-13
INOXWIND.NS,3.31,Trail -12%,28,2024-02-05,2024-03-04
SWANCORP.NS,72.38,Trail -12%,131,2023-11-01,2024-03-11
ATGL.NS,-12.21,Trail -12%,69,2024-01-03,2024-03-12
MRPL.NS,-12.39,Trail -12%,7,2024-03-05,2024-03-12
NETWEB.NS,-12.99,Trail -12%,7,2024-03-05,2024-03-12
HUDCO.NS,-18.48,Trail -12%,37,2024-02-05,2024-03-13
TATAINVEST.NS,-5.47,Trail -12%,8,2024-03-05,2024-03-13
SCHNEIDER.NS,-11.27,Trail -12%,8,2024-03-05,2024-03-13
IRFC.NS,-14.34,Trail -12%,8,2024-03-05,2024-03-13
GVT&D.NS,-11.57,Trail -12%,10,2024-03-05,2024-03-15
OIL.NS,-12.01,Trail -12%,10,2024-03-05,2024-03-15
ANANDRATHI.NS,29.29,Trail -12%,120,2023-12-04,2024-04-02
OFSS.NS,1.59,Trail -12%,42,2024-03-05,2024-04-16
ACE.NS,-12.01,Trail -12%,10,2024-04-08,2024-04-18
SCHNEIDER.NS,-12.34,Trail -12%,11,2024-04-08,2024-04-19
TARIL.NS,32.36,Trail -12%,18,2024-04-08,2024-04-26
MRPL.NS,-7.91,Trail -12%,29,2024-04-08,2024-05-07
FORCEMOT.NS,1.3,Trail -12%,43,2024-04-08,2024-05-21
EIHOTEL.NS,-11.12,Trail -12%,50,2024-04-08,2024-05-28
HINDZINC.NS,29.14,Trail -12%,20,2024-05-10,2024-05-30
TATAINVEST.NS,-13.16,Trail -12%,57,2024-04-08,2024-06-04
ABB.NS,6.8,Trail -12%,25,2024-05-10,2024-06-04
COCHINSHIP.NS,47.61,Trail -12%,58,2024-04-08,2024-06-05
OIL.NS,-7.06,Trail -12%,58,2024-04-08,2024-06-05
KIRLOSBROS.NS,24.43,Trail -12%,31,2024-06-11,2024-07-12
POWERINDIA.NS,16.32,Trail -12%,34,2024-06-11,2024-07-15
JWL.NS,-2.64,Trail -12%,37,2024-06-11,2024-07-18
PGEL.NS,19.21,Trail -12%,38,2024-06-11,2024-07-19
TEJASNET.NS,-7.2,Trail -12%,42,2024-06-11,2024-07-23
MAZDOCK.NS,-12.13,Trail -12%,13,2024-07-11,2024-07-24
HINDZINC.NS,-12.22,Trail -12%,44,2024-06-11,2024-07-25
COCHINSHIP.NS,29.97,Trail -12%,44,2024-06-11,2024-07-25
GRSE.NS,-12.9,Trail -12%,14,2024-07-11,2024-07-25
TARIL.NS,17.92,Trail -12%,87,2024-05-10,2024-08-05
FINCABLES.NS,-6.52,Trail -12%,55,2024-06-11,2024-08-05
MAZDOCK.NS,-13.35,Trail -12%,8,2024-08-12,2024-08-20
GRAVITA.NS,16.52,Trail -12%,14,2024-08-12,2024-08-26
PGEL.NS,10.82,Trail -12%,17,2024-08-12,2024-08-29
ZENTEC.NS,-5.5,Trail -12%,25,2024-08-12,2024-09-06
RVNL.NS,-7.87,Trail -12%,36,2024-08-12,2024-09-17
DEEPAKFERT.NS,-4.73,Trail -12%,36,2024-08-12,2024-09-17
WOCKPHARMA.NS,-2.81,Trail -12%,37,2024-08-12,2024-09-18
NAVA.NS,25.77,Trail -12%,44,2024-08-12,2024-09-25
GODFRYPHLP.NS,7.55,Trail -12%,14,2024-09-11,2024-09-25
PTCIL.NS,-8.1,Trail -12%,45,2024-08-12,2024-09-26
GRAVITA.NS,3.87,Trail -12%,22,2024-09-11,2024-10-03
SUZLON.NS,-11.73,Trail -12%,56,2024-08-12,2024-10-07
NEULANDLAB.NS,-2.54,Trail -12%,56,2024-08-12,2024-10-07
PGEL.NS,-11.7,Trail -12%,26,2024-09-11,2024-10-07
PCBL.NS,3.74,Trail -12%,26,2024-09-11,2024-10-07
NEULANDLAB.NS,-1.14,Trail -12%,7,2024-10-11,2024-10-18
TECHNOE.NS,18.09,Trail -12%,133,2024-06-11,2024-10-22
BSE.NS,-9.03,Trail -12%,11,2024-10-11,2024-10-22
PCBL.NS,-13.98,Trail -12%,11,2024-10-11,2024-10-22
GRAVITA.NS,-11.89,Trail -12%,11,2024-10-11,2024-10-22
SARDAEN.NS,-12.43,Trail -12%,19,2024-10-11,2024-10-30
MCX.NS,-7.2,Trail -12%,33,2024-10-11,2024-11-13
GODFRYPHLP.NS,-12.72,Trail -12%,34,2024-10-11,2024-11-14
JMFINANCIL.NS,-11.03,Trail -12%,43,2024-11-11,2024-12-24
BSE.NS,10.08,Trail -12%,56,2024-11-11,2025-01-06
PAYTM.NS,9.08,Trail -12%,59,2024-11-11,2025-01-09
RPOWER.NS,-12.93,Trail -12%,28,2024-12-12,2025-01-09
MOTILALOFS.NS,-9.81,Trail -12%,60,2024-11-11,2025-01-10
PGEL.NS,36.39,Trail -12%,60,2024-11-11,2025-01-10
SARDAEN.NS,-6.3,Trail -12%,63,2024-11-11,2025-01-13
TARIL.NS,-5.34,Trail -12%,32,2024-12-12,2025-01-13
ITI.NS,-12.87,Trail -12%,8,2025-01-13,2025-01-21
PGEL.NS,-8.58,Trail -12%,9,2025-01-13,2025-01-22
PTCIL.NS,-13.91,Trail -12%,9,2025-01-13,2025-01-22
TARIL.NS,-15.46,Trail -12%,14,2025-01-13,2025-01-27
LLOYDSME.NS,-10.19,Trail -12%,15,2025-01-13,2025-01-28
AMBER.NS,-15.48,Trail -12%,30,2025-01-13,2025-02-12
MANAPPURAM.NS,-12.98,Trail -12%,4,2025-02-10,2025-02-14
LAURUSLABS.NS,-12.8,Trail -12%,4,2025-02-10,2025-02-14
WOCKPHARMA.NS,-13.35,Trail -12%,11,2025-02-10,2025-02-21
BLUEJET.NS,-1.49,Trail -12%,51,2025-02-10,2025-04-02
REDINGTON.NS,-11.39,Trail -12%,53,2025-02-10,2025-04-04
GLAXO.NS,-4.06,Trail -12%,26,2025-03-12,2025-04-07
ASTRAZEN.NS,3.21,Trail -12%,64,2025-03-12,2025-05-15
CHAMBLFERT.NS,-2.85,Trail -12%,29,2025-04-16,2025-05-15
GRSE.NS,19.95,Trail -12%,24,2025-05-19,2025-06-12
GODFRYPHLP.NS,9.61,Trail -12%,64,2025-04-16,2025-06-19
GRSE.NS,-5.38,Trail -12%,8,2025-06-17,2025-06-25
NH.NS,25.95,Trail -12%,112,2025-03-12,2025-07-02
BSE.NS,-7.03,Trail -12%,21,2025-06-17,2025-07-08
SOLARINDS.NS,27.22,Trail -12%,86,2025-04-16,2025-07-11
BDL.NS,-4.44,Trail -12%,59,2025-05-19,2025-07-17
RPOWER.NS,-3.57,Trail -12%,35,2025-06-17,2025-07-22
JMFINANCIL.NS,-8.07,Trail -12%,14,2025-07-16,2025-07-30
CHOLAFIN.NS,-10.43,Trail -12%,106,2025-04-16,2025-07-31
GLAXO.NS,1.64,Trail -12%,107,2025-04-16,2025-08-01
FORCEMOT.NS,93.78,Trail -12%,107,2025-04-16,2025-08-01
IIFL.NS,-18.9,Trail -12%,16,2025-07-16,2025-08-01
SRF.NS,-3.17,Trail -12%,149,2025-03-12,2025-08-08
APARINDS.NS,-5.4,Trail -12%,33,2025-07-16,2025-08-18
GLENMARK.NS,-11.75,Trail -12%,34,2025-07-16,2025-08-19
FORCEMOT.NS,-2.95,Trail -12%,18,2025-08-14,2025-09-01
JMFINANCIL.NS,-11.04,Trail -12%,42,2025-08-14,2025-09-25
FORCEMOT.NS,-11.97,Trail -12%,10,2025-09-16,2025-09-26
NETWEB.NS,32.29,Trail -12%,30,2025-09-16,2025-10-16
SYRMA.NS,-7.5,Trail -12%,41,2025-09-16,2025-10-27
ATHERENERG.NS,-3.11,Trail -12%,19,2025-10-16,2025-11-04
NETWEB.NS,-3.45,Trail -12%,19,2025-10-16,2025-11-04
ETERNAL.NS,-4.0,Trail -12%,84,2025-08-14,2025-11-06
HBLENGINE.NS,8.78,Trail -12%,58,2025-09-16,2025-11-13
GMDCLTD.NS,-12.74,Trail -12%,34,2025-10-16,2025-11-19
SAMMAANCAP.NS,-12.7,Trail -12%,1,2025-11-18,2025-11-19
GPIL.NS,-7.87,Trail -12%,66,2025-09-16,2025-11-21
CHENNPETRO.NS,-18.23,Trail -12%,8,2025-11-18,2025-11-26
MRPL.NS,-12.14,Trail -12%,16,2025-11-18,2025-12-04
GVT&D.NS,18.8,Trail -12%,142,2025-07-16,2025-12-05
ATHERENERG.NS,-5.26,Trail -12%,52,2025-11-18,2026-01-09
CUB.NS,-4.4,Trail -12%,26,2025-12-17,2026-01-12
KIRLOSENG.NS,-12.14,Trail -12%,26,2025-12-17,2026-01-12
