regime,trend,volume,horizon,n,avg_ret,median_ret,win_rate,avg_winner,avg_loser,payoff_ratio,max_dd,sharpe,sortino,calmar,var_95,cvar_95,worst_trade,best_trade
Strong_Bull,40-60,Big_Drop,60,81,1.43,-0.32,49.4,15.02,-11.83,1.27,61.44,0.16,0.25,0.02,-19.74,-36.11,-56.15,54.1
Strong_Bull,40-60,Big_Drop,90,81,1.05,-0.75,49.4,18.96,-16.41,1.15,61.44,0.08,0.15,0.02,-35.01,-37.69,-41.46,70.15
Strong_Bull,40-60,Drop,60,76,1.16,1.12,52.6,13.77,-12.84,1.07,36.04,0.14,0.3,0.03,-23.04,-28.18,-33.83,45.46
Strong_Bull,40-60,Drop,90,76,1.99,4.8,52.6,19.58,-17.56,1.12,63.41,0.14,0.25,0.03,-33.33,-41.84,-60.19,91.38
Strong_Bull,40-60,Jump,60,49,-0.61,-1.69,40.8,16.5,-12.41,1.33,51.02,-0.06,-0.1,-0.01,-35.52,-43.57,-44.72,71.23
Strong_Bull,40-60,Jump,90,49,-1.53,-4.99,44.9,17.41,-16.96,1.03,61.44,-0.11,-0.24,-0.02,-34.04,-36.57,-39.24,92.67
Mild_Bull,80-100,Spike,60,167,7.65,4.3,61.7,18.38,-9.62,1.91,39.0,0.81,2.11,0.2,-17.55,-23.56,-32.27,92.47
Mild_Bull,80-100,Spike,90,167,10.28,8.61,65.3,22.77,-13.21,1.72,49.87,0.75,1.92,0.21,-22.45,-28.87,-42.45,80.83
Mild_Bull,80-100,Flat,60,690,5.45,3.19,60.1,16.05,-10.53,1.52,46.14,0.57,1.36,0.12,-20.34,-27.44,-41.01,137.39
Mild_Bull,80-100,Flat,90,690,7.62,4.85,59.7,20.53,-11.5,1.78,49.87,0.57,1.43,0.15,-23.38,-29.26,-41.65,101.32
Mild_Bull,80-100,Big_Drop,60,330,3.9,3.8,63.6,14.32,-14.35,1.0,59.86,0.41,0.66,0.07,-26.07,-38.58,-58.47,122.93
Mild_Bull,80-100,Big_Drop,90,330,9.45,7.38,65.5,21.54,-13.44,1.6,63.45,0.67,1.49,0.15,-24.5,-32.4,-46.4,157.74
Mild_Bull,80-100,Drop,60,313,2.38,3.1,58.1,13.53,-13.13,1.03,62.75,0.28,0.39,0.04,-28.65,-40.1,-61.45,45.46
Mild_Bull,80-100,Drop,90,313,5.96,4.9,61.3,17.72,-12.7,1.39,62.75,0.51,1.04,0.09,-25.78,-30.48,-39.61,68.74
Mild_Bull,80-100,Jump,60,198,5.87,2.82,58.1,16.56,-8.94,1.85,48.13,0.7,1.4,0.12,-17.32,-27.83,-43.62,59.74
Mild_Bull,80-100,Jump,90,198,9.99,8.23,66.2,21.25,-12.03,1.77,49.87,0.76,1.66,0.2,-23.04,-30.77,-38.35,99.1
Mild_Bull,60-80,Spike,60,84,1.96,3.44,58.3,12.32,-12.54,0.98,47.78,0.25,0.41,0.04,-25.85,-31.14,-39.87,45.64
Mild_Bull,60-80,Spike,90,84,5.36,3.11,60.7,17.2,-12.93,1.33,47.78,0.45,0.87,0.11,-29.6,-31.21,-34.37,69.69
Mild_Bull,60-80,Flat,60,587,5.62,5.51,64.9,13.98,-9.83,1.42,58.8,0.73,1.22,0.1,-18.75,-27.18,-50.82,83.35
Mild_Bull,60-80,Flat,90,587,8.93,7.54,65.4,19.91,-11.83,1.68,58.8,0.72,1.52,0.15,-21.88,-30.0,-44.22,102.24
Mild_Bull,60-80,Big_Drop,60,220,4.44,5.15,64.5,13.6,-12.24,1.11,46.76,0.55,0.97,0.09,-25.03,-30.18,-40.44,54.16
Mild_Bull,60-80,Big_Drop,90,220,8.46,7.91,66.4,18.56,-11.47,1.62,46.76,0.71,1.57,0.18,-20.62,-28.59,-31.75,105.35
Mild_Bull,60-80,Drop,60,249,5.39,4.25,65.5,14.07,-11.06,1.27,54.04,0.66,1.26,0.1,-17.3,-26.38,-52.91,74.72
