sector,regime,trend,volume,horizon,n,avg_ret,win_rate,sharpe
Pharma,Strong_Bull,0-20,Flat,90,103,-0.585684928238027,43.689320388349515,-0.050363812653020194
Pharma,Strong_Bull,0-20,Drop,60,42,-0.2657521634194159,40.476190476190474,-0.05170207019007436
Pharma,Strong_Bull,0-20,Drop,90,42,-0.625843662712111,45.23809523809524,-0.06830297226560814
Pharma,Strong_Bull,0-20,Big_Drop,60,38,-2.614552076818994,36.84210526315789,-0.4323522791835768
Pharma,Strong_Bull,0-20,Big_Drop,90,38,-0.007186949470968593,50.0,-0.002016019606677906
Pharma,Strong_Bull,0-20,Spike,60,29,2.5464243669846818,55.172413793103445,0.3726371508992581
Pharma,Strong_Bull,0-20,Spike,90,29,4.4308745511248615,62.06896551724138,0.45915077362293055
Pharma,Strong_Bull,0-20,Jump,60,29,5.934595652810763,62.06896551724138,0.8366107209577072
Pharma,Strong_Bull,0-20,Jump,90,29,8.126851222808996,65.51724137931035,0.825163896605693
Pharma,Strong_Bull,60-80,Flat,60,102,2.90168308962882,65.68627450980392,0.4395732753711485
Pharma,Strong_Bull,60-80,Flat,90,102,4.749265342844524,67.64705882352942,0.503611306632812
Pharma,Strong_Bull,60-80,Drop,60,49,2.1710840282031407,53.06122448979592,0.3257430996511623
Pharma,Strong_Bull,60-80,Drop,90,49,1.2361253987495149,48.97959183673469,0.12288307677543597
Pharma,Strong_Bull,60-80,Big_Drop,60,48,5.390999251063796,66.66666666666666,0.7493547233452208
Pharma,Strong_Bull,60-80,Big_Drop,90,48,7.054843347713269,66.66666666666666,0.7076258544787933
Pharma,Strong_Bull,60-80,Spike,60,16,7.1171822728279555,68.75,1.0537856369715062
Pharma,Strong_Bull,60-80,Spike,90,16,6.142033726454802,68.75,0.7094100034095508
Pharma,Strong_Bull,60-80,Jump,60,22,7.308167686019977,63.63636363636363,1.1464999599810057
Pharma,Strong_Bull,60-80,Jump,90,22,11.365478895503946,72.72727272727273,1.1773718260230368
Pharma,Strong_Bull,80-100,Flat,60,197,0.6286136930020513,51.26903553299492,0.09886696497556369
Pharma,Strong_Bull,80-100,Flat,90,197,2.0785996779455718,54.82233502538071,0.22184847613549724
Pharma,Strong_Bull,80-100,Drop,60,118,2.6555348785022344,59.32203389830508,0.46108970959156337
Pharma,Strong_Bull,80-100,Drop,90,118,6.341782592128768,66.10169491525424,0.6721094701174969
