Ticker,Company_Name,Sub_Industry
BLACKBUCK.NS,BLACKBUCK LIMITED,IT - Software
BLAL.NS,BEML LAND ASSETS LIMITED,Diversified
BLBLIMITED.NS,BLB LIMITED,Capital Markets
BLISSGVS.NS,BLISS GVS PHARMA LTD,Pharmaceuticals & Biotechnology
BLKASHYAP.NS,B.L.KASHYAP & SON LTD,Construction
BLS.NS,BLS INTL SERVS LTD,Commercial Services & Supplies
BLSE.NS,BLS E-SERVICES LIMITED,Commercial Services & Supplies
BLUEDART.NS,BLUE DART EXPRESS LTD,Transport Services
BLUEJET.NS,BLUE JET HEALTHCARE LTD,Pharmaceuticals & Biotechnology
BLUESTARCO.NS,BLUE STAR LIMITED,Other Construction Materials
BLUESTONE.NS,BLUESTONE JEWEL LFSTL LTD,Consumer Durables
BLUSPRING.NS,BLUSPRING ENTERPRISES LTD,Commercial Services & Supplies
BMWVENTLTD.NS,BMW VENTURES LIMITED,Ferrous Metals
BOHRAIND.NS,BOHRA INDUSTRIES LIMITED,Fertilizers & Agrochemicals
BOMDYEING.NS,BOMBAY DYEING & MFG. CO L,Textiles & Apparels
BONLON.NS,BONLON INDUSTRIES LIMITED,Minerals & Mining
BORANA.NS,BORANA WEAVES LIMITED,Textiles & Apparels
BOROLTD.NS,BOROSIL LIMITED,Consumer Durables
BORORENEW.NS,BOROSIL RENEWABLES LTD,Power
BOROSCI.NS,BOROSIL SCIENTIFIC LTD,Industrial Products
BOSCH-HCIL.NS,BOSCH HOME COMFRT IND LTD,Consumer Durables
BOSCHLTD.NS,BOSCH LIMITED,Auto Components
BPCL.NS,BHARAT PETROLEUM CORP  LT,Petroleum Products
BPL.NS,BPL LTD,Consumer Durables
BRIGADE.NS,BRIGADE ENTER. LTD,Realty
BRIGHOTEL.NS,BRIGADE HOTEL VENTURE LTD,Leisure Services
BRITANNIA.NS,BRITANNIA INDUSTRIES LTD,Food Products
BRNL.NS,BHARAT ROAD NETWORK LTD,Construction
BSE.NS,BSE LIMITED,Capital Markets
BSL.NS,BSL LTD,Textiles & Apparels
BSOFT.NS,BIRLASOFT LIMITED,IT - Services
BTML.NS,BODHI TREE MULTIMEDIA LTD,Entertainment
BTTL.NS,BHILWARA TECHNICAL TEXT L,Textiles & Apparels
BUILDPRO.NS,SHANKARA BUILDPRO LIMITED,Retailing
BUTTERFLY.NS,BTRFLY GANDHI APPL LTD,Consumer Durables
BVCL.NS,BARAK VALLEY CEM. LTD.,Other Construction Materials
CAMLINFINE.NS,CAMLIN FINE SCIENCES LTD,Chemicals & Petrochemicals
CAMPUS.NS,CAMPUS ACTIVEWEAR LIMITED,Consumer Durables
CAMS.NS,COMPUTER AGE MNGT SER LTD,IT - Services
CANBK.NS,CANARA BANK,Banks
CANFINHOME.NS,CAN FIN HOMES LTD,Finance
CANHLIFE.NS,CANARA HSBC LIFE INS CO L,Insurance
CANTABIL.NS,CANTABIL RETAIL LTD,Textiles & Apparels
CAPACITE.NS,CAPACITE INFRAPROJECT LTD,Construction
CAPILLARY.NS,CAPILLARY TECHNO INDIA L,IT - Software
CAPITALSFB.NS,CAPITAL SMALL FIN BANK L,Banks
CAPLIPOINT.NS,CAPLIN POINT LAB LTD.,Pharmaceuticals & Biotechnology
CARBORUNIV.NS,CARBORUNDUM UNIVERSAL LTD,Diversified
CARERATING.NS,CARE RATINGS LIMITED,Capital Markets
CARRARO.NS,CARRARO INDIA LIMITED,Auto Components
CARTRADE.NS,CARTRADE TECH LIMITED,Retailing
CARYSIL.NS,CARYSIL LIMITED,Consumer Durables
CASTROLIND.NS,CASTROL INDIA LIMITED,Petroleum Products
CCAVENUE.NS,AVENUESAI LIMITED,IT - Software
CCCL.NS,CONS. CONST. CONSORT LTD,Construction
CCHHL.NS,COUNTRY CLUB HOSP HOL LTD,Leisure Services
CCL.NS,CCL PRODUCTS (I) LTD,Food Products
CDSL.NS,CENTRAL DEPO SER (I) LTD,Capital Markets
CEATLTD.NS,CEAT LIMITED,Auto Components
CEIGALL.NS,CEIGALL INDIA LIMITED,Construction
CEINSYS.NS,CEINSYS TECH LIMITED,Construction
CELEBRITY.NS,CELEBRITY FASHIONS LTD,Textiles & Apparels
CELLO.NS,CELLO WORLD LIMITED,Consumer Durables
CEMPRO.NS,CEMINDIA PROJECTS LIMITED,Construction
CENTENKA.NS,CENTURY ENKA LTD,Textiles & Apparels
CENTEXT.NS,CENTURY EXTRUSIONS LTD,Non - Ferrous Metals
CENTRALBK.NS,CENTRAL BANK OF INDIA,Banks
CENTRUM.NS,CENTRUM CAPITAL LIMITED,Finance
CENTUM.NS,CENTUM ELECTRONICS LTD,Industrial Manufacturing
CENTURYPLY.NS,CENTURY PLYBOARDS (I) LTD,"Paper, Forest & Jute Products"
CERA.NS,CERA SANITARYWARE LTD,Other Construction Materials
CESC.NS,CESC LTD,Power
CEWATER.NS,CONCORD ENVIRO SYSTEMS L,Other Utilities
CGCL.NS,CAPRI GLOBAL CAPITAL LTD,Finance
CGPOWER.NS,CG POWER AND IND SOL LTD,Electrical Equipment
CHALET.NS,CHALET HOTELS LIMITED,Leisure Services
CHAMBLFERT.NS,CHAMBAL FERTILIZERS LTD,Fertilizers & Agrochemicals
CHEMPLASTS.NS,CHEMPLAST SANMAR LIMITED,Chemicals & Petrochemicals
CHENNPETRO.NS,CHENNAI PETROLEUM CORP LT,Petroleum Products
CHEVIOT.NS,CHEVIOT COMPANY LIMITED,Textiles & Apparels
CHOICEIN.NS,CHOICE INTERNATIONAL LTD,Capital Markets
CHOLAFIN.NS,CHOLAMANDALAM IN & FIN CO,Finance
CHOLAHLDNG.NS,CHOLAMANDALAM FIN HOL LTD,Finance
CIEINDIA.NS,CIE AUTOMOTIVE INDIA LTD,Auto Components
CIFL.NS,CAPITAL INDIA FINANCE LTD,Finance
CINELINE.NS,CINELINE INDIA LIMITED,Entertainment
CINEVISTA.NS,CINEVISTA LIMITED,Entertainment
CIPLA.NS,CIPLA LTD,Pharmaceuticals & Biotechnology
CLEAN.NS,CLEAN SCIENCE & TECH LTD,Chemicals & Petrochemicals
CLEANMAX.NS,CLEAN MAX ENVIRO EN SOL L,Power
CLSEL.NS,CHAMAN LAL SETIA EXP LTD,Food Products
CMSINFO.NS,CMS INFO SYSTEMS LIMITED,Commercial Services & Supplies
CNL.NS,CREATIVE NEWTECH LIMITED,IT - Hardware
COALINDIA.NS,COAL INDIA LTD,Consumable Fuels
COASTCORP.NS,COASTAL CORPORATION LTD,Food Products
COCHINSHIP.NS,COCHIN SHIPYARD LIMITED,Aerospace & Defense
COFORGE.NS,COFORGE LIMITED,IT - Services
COHANCE.NS,COHANCE LIFESCIENCES LTD,Pharmaceuticals & Biotechnology
COLPAL.NS,COLGATE PALMOLIVE LTD.,Personal Products
COMPUSOFT.NS,COMPUCOM SOFTWARE LTD,Other Consumer Services
COMSYN.NS,COMMERCIAL SYN BAGS LTD,Industrial Products
CONCOR.NS,CONTAINER CORP OF IND LTD,Transport Services
CONCORDBIO.NS,CONCORD BIOTECH LIMITED,Pharmaceuticals & Biotechnology
CONFIPET.NS,CONFIDENCE PETRO IND LTD.,Petroleum Products
CONSOFINVT.NS,CONSO. FIN. & HOLD. LTD.,Capital Markets
CONTROLPR.NS,CONTROL PRINT LIMITED,Commercial Services & Supplies
CORALFINAC.NS,CORAL INDIA FIN & HOUS LT,Realty
COROMANDEL.NS,COROMANDEL INTERNTL. LTD,Fertilizers & Agrochemicals
COSMOFIRST.NS,COSMO FIRST LIMITED,Industrial Products
