alert_id,alert_date,ticker,alert_type,message
57,2026-03-18 11:11:42,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*AETHER.NS*\nPrice: ₹1,068.55\nRS Score: 22.5"
58,2026-03-18 11:11:42,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*GVT&D.NS*\nPrice: ₹3,807.70\nRS Score: 19.69"
59,2026-03-18 11:11:42,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*KSB.NS*\nPrice: ₹811.30\nRS Score: 19.07
60,2026-03-18 11:11:42,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*CIEINDIA.NS*\nPrice: ₹481.20\nRS Score: 18.53
61,2026-03-18 11:11:42,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*SHAILY.NS*\nPrice: ₹2,351.30\nRS Score: 17.55"
62,2026-03-19 11:04:35,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*SAILIFE.NS*\nPrice: ₹1,008.80\nRS Score: 19.98"
63,2026-03-19 11:04:35,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*NTPCGREEN.NS*\nPrice: ₹98.88\nRS Score: 18.87
64,2026-03-19 11:04:35,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ATHERENERG.NS*\nPrice: ₹754.30\nRS Score: 18.18
65,2026-03-19 11:04:35,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ONGC.NS*\nPrice: ₹269.10\nRS Score: 17.89
66,2026-03-19 11:04:35,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*WAAREEENER.NS*\nPrice: ₹3,155.90\nRS Score: 17.04"
67,2026-03-20 10:59:12,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ACI.NS*\nPrice: ₹601.25\nRS Score: 21.25
68,2026-03-20 10:59:12,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*TDPOWERSYS.NS*\nPrice: ₹863.25\nRS Score: 19.69
69,2026-03-20 10:59:12,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*BELRISE.NS*\nPrice: ₹189.00\nRS Score: 19.66
70,2026-03-20 10:59:12,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*CCL.NS*\nPrice: ₹1,087.60\nRS Score: 18.55"
71,2026-03-20 10:59:12,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*AUROPHARMA.NS*\nPrice: ₹1,291.40\nRS Score: 18.49"
72,2026-03-23 11:10:13,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*ENTERO.NS*\nPrice: ₹1,161.30\nRS Score: 24.24"
73,2026-03-23 11:10:13,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*WEBELSOLAR.NS*\nPrice: ₹76.56\nRS Score: 21.13
74,2026-03-23 11:10:13,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*POWERGRID.NS*\nPrice: ₹302.10\nRS Score: 19.07
75,2026-03-23 11:10:13,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*PREMIERENE.NS*\nPrice: ₹866.55\nRS Score: 18.87
76,2026-03-23 11:10:13,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*SUNTV.NS*\nPrice: ₹599.10\nRS Score: 18.33
77,2026-03-24 11:10:55,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*EMCURE.NS*\nPrice: ₹1,539.70\nRS Score: 18.42"
78,2026-03-24 11:10:55,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ALIVUS.NS*\nPrice: ₹969.80\nRS Score: 16.85
79,2026-03-24 11:10:55,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*LUPIN.NS*\nPrice: ₹2,331.80\nRS Score: 16.73"
80,2026-03-24 11:10:55,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ZYDUSWELL.NS*\nPrice: ₹440.55\nRS Score: 16.7
81,2026-03-24 11:10:55,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*INOXINDIA.NS*\nPrice: ₹1,202.60\nRS Score: 16.16"
82,2026-03-25 11:09:34,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*BALRAMCHIN.NS*\nPrice: ₹508.50\nRS Score: 20.61
83,2026-03-25 11:09:34,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*IPCALAB.NS*\nPrice: ₹1,570.00\nRS Score: 16.68"
84,2026-03-25 11:09:34,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*AKUMS.NS*\nPrice: ₹493.65\nRS Score: 16.1
85,2026-03-25 11:09:34,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*MAHSEAMLES.NS*\nPrice: ₹579.75\nRS Score: 15.98
86,2026-03-25 11:09:34,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*ASTRAL.NS*\nPrice: ₹1,646.60\nRS Score: 15.96"
87,2026-03-26 11:14:36,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*TRIVENI.NS*\nPrice: ₹407.40\nRS Score: 15.81
88,2026-03-26 11:14:36,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*SHILPAMED.NS*\nPrice: ₹345.30\nRS Score: 15.34
89,2026-03-26 11:14:36,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ELECTCAST.NS*\nPrice: ₹77.43\nRS Score: 15.33
90,2026-03-26 11:14:36,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ADANIPOWER.NS*\nPrice: ₹153.65\nRS Score: 15.15
91,2026-03-26 11:14:36,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*LLOYDSME.NS*\nPrice: ₹1,307.70\nRS Score: 14.8"
