date,value,mode
2016-12-23,1175700.4362220573,FROG
2016-12-26,1172828.2766456413,FROG
2016-12-27,1180093.3558692741,FROG
2016-12-28,1180857.2869605827,FROG
2016-12-29,1184688.6039161491,FROG
2016-12-30,1189975.6291847038,FROG
2017-01-02,1187904.0975074577,FROG
2017-01-03,1189994.2189063835,FROG
2017-01-04,1187773.656223278,FROG
2017-01-05,1189895.0626563835,FROG
2017-01-06,1186636.9476661491,FROG
2017-01-09,1186938.1802100944,FROG
2017-01-10,1187494.618534069,FROG
2017-01-11,1191008.5507240104,FROG
2017-01-12,1190888.2562794304,FROG
2017-01-13,1188658.3190540886,FROG
2017-01-16,1187345.728233776,FROG
2017-01-17,1191189.4603504753,FROG
2017-01-18,1194550.640709362,FROG
2017-01-19,1195364.9817738151,FROG
2017-01-20,1193480.6095509147,FROG
2017-01-23,1196674.2238697624,FROG
2017-01-24,1198767.9927906608,FROG
2017-01-25,1202838.6954401971,FROG
2017-01-27,1196295.0854548456,FROG
2017-01-30,1196835.651464367,FROG
2017-01-31,1191624.7900141717,FROG
2017-02-01,1196227.6044062616,FROG
2017-02-02,1199654.3726252557,FROG
2017-02-03,1203187.2668208124,FROG
2017-02-06,1208559.9284815788,FROG
2017-02-07,1203109.4669947624,FROG
2017-02-08,1203574.259200573,FROG
2017-02-09,1202746.6727137566,FROG
2017-02-10,1202332.5285999873,FROG
2017-02-13,1203971.9891163446,FROG
2017-02-14,1199467.4489021113,FROG
2017-02-15,1196056.621686535,FROG
2017-02-16,1199014.0364460566,FROG
2017-02-17,1201572.257332287,FROG
2017-02-20,1206719.5365986445,FROG
2017-02-21,1205280.6263914302,LEAP
2017-02-22,1201622.525134106,LEAP
2017-02-23,1204894.5295896723,LEAP
2017-02-27,1205503.2708006098,LEAP
2017-02-28,1203348.6738157466,LEAP
2017-03-01,1206218.3209104731,LEAP
2017-03-02,1201490.6953336908,LEAP
2017-03-03,1202929.006658764,LEAP
2017-03-06,1201646.799566479,LEAP
