Period_10Y,Sector,Month,Month_Name_10Y,Avg%_10Y,Median%_10Y,StdDev%_10Y,Win%_10Y,Best%_10Y,Worst%_10Y,Alpha%_10Y,Consistency%_10Y,Score_10Y,N_Years_10Y,Period_15Y,Month_Name_15Y,Avg%_15Y,Median%_15Y,StdDev%_15Y,Win%_15Y,Best%_15Y,Worst%_15Y,Alpha%_15Y,Consistency%_15Y,Score_15Y,N_Years_15Y,Both_Positive,Both_Negative
10Y,Holding Company,8,Aug,4.02,2.65,4.32,90.0,13.97,-1.31,2.58,80.0,2.896,10,15Y,Aug,2.92,2.0,4.95,73.0,13.97,-6.68,3.06,87.0,1.857,15,True,False
10Y,Exchange and Data Platform,5,May,4.0,2.78,10.18,62.0,20.55,-9.78,3.24,75.0,1.876,8,15Y,May,4.0,2.78,10.18,62.0,20.55,-9.78,3.24,75.0,1.876,8,True,False
10Y,Passenger Cars & Utility Vehicles,12,Dec,3.88,1.9,10.32,70.0,31.37,-5.73,2.33,90.0,2.444,10,15Y,Dec,2.35,1.03,9.02,67.0,31.37,-6.03,1.67,93.0,1.461,15,True,False
10Y,Cables - Electricals,8,Aug,3.82,4.99,6.1,71.0,11.36,-5.75,2.19,57.0,1.56,7,15Y,Aug,3.82,4.99,6.1,71.0,11.36,-5.75,2.19,57.0,1.56,7,True,False
10Y,Holding Company,5,May,3.54,4.11,7.01,60.0,14.05,-6.04,2.19,60.0,1.273,10,15Y,May,2.96,4.95,7.98,60.0,14.05,-10.34,2.0,60.0,1.066,15,True,False
10Y,Depositories Clearing Houses and Other Intermediaries,8,Aug,3.48,3.86,6.17,67.0,9.45,-2.88,4.4,67.0,1.545,3,15Y,Aug,3.48,3.86,6.17,67.0,9.45,-2.88,4.4,67.0,1.545,3,True,False
10Y,Industrial Products,4,Apr,3.43,4.1,1.31,100.0,4.26,1.92,0.5,67.0,2.284,3,15Y,Apr,3.43,4.1,1.31,100.0,4.26,1.92,0.5,67.0,2.284,3,True,False
10Y,Exchange and Data Platform,8,Aug,3.4,2.08,6.72,62.0,12.59,-4.63,1.62,50.0,1.064,8,15Y,Aug,3.4,2.08,6.72,62.0,12.59,-4.63,1.62,50.0,1.064,8,True,False
10Y,Passenger Cars & Utility Vehicles,5,May,3.32,1.31,5.79,80.0,15.21,-3.02,1.98,70.0,1.861,10,15Y,May,2.35,1.46,7.24,73.0,15.21,-9.92,1.39,67.0,1.15,15,True,False
10Y,Electrodes & Refractories,11,Nov,3.29,4.4,10.97,60.0,24.67,-12.59,1.38,70.0,1.383,10,15Y,Nov,2.71,1.3,9.81,64.0,24.67,-12.59,1.05,79.0,1.37,14,True,False
10Y,Depositories Clearing Houses and Other Intermediaries,7,Jul,3.24,7.35,18.07,67.0,18.91,-16.53,1.93,67.0,1.441,3,15Y,Jul,3.24,7.35,18.07,67.0,18.91,-16.53,1.93,67.0,1.441,3,True,False
10Y,Aerospace & Defense,3,Mar,3.1,4.54,15.49,62.0,30.48,-23.22,3.89,75.0,1.451,8,15Y,Mar,3.1,4.54,15.49,62.0,30.48,-23.22,3.89,75.0,1.451,8,True,False
10Y,Industrial Products,11,Nov,3.04,3.2,4.04,75.0,7.7,-1.95,0.23,50.0,1.138,4,15Y,Nov,3.04,3.2,4.04,75.0,7.7,-1.95,0.23,50.0,1.138,4,True,False
10Y,Cables - Electricals,12,Dec,2.92,1.94,4.29,71.0,10.67,-1.65,1.05,71.0,1.49,7,15Y,Dec,2.92,1.94,4.29,71.0,10.67,-1.65,1.05,71.0,1.49,7,True,False
10Y,Depositories Clearing Houses and Other Intermediaries,5,May,2.81,2.45,2.96,100.0,5.94,0.05,1.49,67.0,1.876,3,15Y,May,2.81,2.45,2.96,100.0,5.94,0.05,1.49,67.0,1.876,3,True,False
10Y,Consumer Electronics,6,Jun,2.77,1.46,12.31,62.0,21.83,-10.29,0.84,50.0,0.866,8,15Y,Jun,2.77,1.46,12.31,62.0,21.83,-10.29,0.84,50.0,0.866,8,True,False
10Y,Holding Company,9,Sep,2.68,3.78,9.1,60.0,15.14,-13.3,2.95,60.0,0.965,10,15Y,Sep,2.07,2.14,7.95,60.0,15.14,-13.3,1.45,67.0,0.827,15,True,False
10Y,Cables - Electricals,7,Jul,2.59,0.46,10.04,57.0,21.28,-11.15,0.49,71.0,1.058,7,15Y,Jul,2.59,0.46,10.04,57.0,21.28,-11.15,0.49,71.0,1.058,7,True,False
10Y,Consumer Electronics,7,Jul,2.57,3.79,7.22,75.0,9.23,-12.1,-0.02,88.0,1.689,8,15Y,Jul,2.57,3.79,7.22,75.0,9.23,-12.1,-0.02,88.0,1.689,8,True,False
10Y,Exchange and Data Platform,12,Dec,2.18,0.57,4.18,67.0,7.95,-3.81,0.41,67.0,0.968,9,15Y,Dec,2.18,0.57,4.18,67.0,7.95,-3.81,0.41,67.0,0.968,9,True,False
