date,ticker,action,price,shares,value,regime,trend,volume,sector,pe,earnings_growth,revenue_growth,reason,pnl,pnl_pct,days_held,mae,mfe
2026-01-05,CUMMINSIND,BUY,4309.8,6,25858.8,Strong_Bull,75,Flat,Industrials,54.1,-13.0%,-1.3%,Entry Signal,,,,,
2026-01-16,MARUTI,SELL,15859.0,2,31559.41,Strong_Bull,75,Flat,Auto,31.5,,,Trailing Stop,257.41,0.82,74.0,-1.77,10.48
2026-01-16,COLPAL,BUY,2104.8,13,27362.4,Mild_Bull,8,Flat,Consumer,43.7,0.3%,1.7%,Entry Signal,,,,,
2026-01-16,HINDUNILVR,BUY,2360.4,11,25964.4,Mild_Bull,19,Flat,Consumer,52.4,3.6%,2.0%,Entry Signal,,,,,
2026-01-16,LTTS,BUY,3917.1,6,23502.6,Mild_Bull,20,Flat,IT_Services,32.6,-6.2%,10.2%,Entry Signal,,,,,
2026-01-20,NMDC,SELL,78.84,656,51460.44,Strong_Bull,73,Flat,Metals,10.7,,,Trailing Stop,1860.28,3.75,90.0,-4.06,13.95
2026-01-22,TVSMOTOR,SELL,3570.1,9,31970.25,Strong_Bull,76,Flat,Auto,82.0,,,Trailing Stop,712.35,2.28,79.0,-2.49,11.32
2026-01-29,GAIL,SELL,162.32,328,52974.91,Strong_Bull,76,Flat,Energy,12.5,,,Time Stop,-3768.32,-6.64,100.0,-10.32,3.87
2026-01-29,ITC,BUY,312.06,103,32142.18,Mild_Bull,5,Flat,Consumer,20.0,N/A,6.7%,Entry Signal,,,,,
2026-01-29,TRENT,BUY,3823.8,7,26766.6,Mild_Bull,6,Flat,Consumer,89.3,3.1%,15.2%,Entry Signal,,,,,
2026-01-29,GODREJCP,BUY,1150.3,24,27607.2,Mild_Bull,22,Flat,Consumer,66.2,N/A,8.8%,Entry Signal,,,,,
2026-02-02,ONGC,SELL,253.95,268,67718.31,Strong_Bull,79,Flat,Energy,9.2,,,Trailing Stop,2812.65,4.33,104.0,-4.45,13.71
2026-02-02,COALINDIA,SELL,423.5,117,49301.75,Strong_Bull,70,Flat,Metals,8.5,,,Trailing Stop,5786.79,13.3,96.0,-0.5,22.54
2026-02-07,JINDALSTEL,SELL,1189.9,52,61565.43,Strong_Bull,73,Flat,Metals,61.0,,,End of Backtest,9055.83,17.25,109.0,-2.36,17.84
2026-02-07,SIEMENS,SELL,3176.2,14,44244.47,Strong_Bull,61,Flat,Industrials,67.1,,,End of Backtest,803.87,1.85,108.0,-8.2,8.37
2026-02-07,BAJAJ-AUTO,SELL,9518.5,4,37883.63,Strong_Bull,73,Flat,Auto,29.9,,,End of Backtest,2191.63,6.14,100.0,-2.27,9.71
2026-02-07,M&M,SELL,3578.0,11,39161.21,Strong_Bull,74,Flat,Auto,28.2,,,End of Backtest,802.01,2.09,99.0,-2.95,9.04
2026-02-07,NTPC,SELL,365.05,102,37048.92,Strong_Bull,68,Flat,Energy,20.2,,,End of Backtest,3400.4,10.11,96.0,-4.18,10.66
2026-02-07,EICHERMOT,SELL,7177.5,4,28566.45,Strong_Bull,76,Flat,Auto,38.6,,,End of Backtest,846.45,3.05,94.0,-3.39,9.42
2026-02-07,TATAPOWER,SELL,365.95,71,25852.54,Strong_Bull,70,Flat,Energy,30.9,,,End of Backtest,-1741.61,-6.31,87.0,-11.17,1.14
2026-02-07,TATASTEEL,SELL,197.06,150,29411.2,Strong_Bull,74,Flat,Metals,36.2,,,End of Backtest,3435.7,13.23,82.0,-7.22,16.83
2026-02-07,CUMMINSIND,SELL,4368.4,6,26079.35,Strong_Bull,75,Flat,Industrials,54.1,,,End of Backtest,220.55,0.85,33.0,-8.85,1.89
2026-02-07,COLPAL,SELL,2133.2,13,27592.94,Mild_Bull,8,Flat,Consumer,43.7,,,End of Backtest,230.54,0.84,22.0,0.0,3.55
2026-02-07,HINDUNILVR,SELL,2424.2,11,26532.87,Mild_Bull,19,Flat,Consumer,52.4,,,End of Backtest,568.47,2.19,22.0,-0.33,2.7
2026-02-07,LTTS,SELL,3855.8,6,23019.13,Mild_Bull,20,Flat,IT_Services,32.6,,,End of Backtest,-483.47,-2.06,22.0,-5.72,0.0
2026-02-07,ITC,SELL,325.8,103,33389.61,Mild_Bull,5,Flat,Consumer,20.0,,,End of Backtest,1247.44,3.88,9.0,-1.22,4.4
2026-02-07,TRENT,SELL,4113.8,7,28652.62,Mild_Bull,6,Flat,Consumer,89.3,,,End of Backtest,1886.02,7.05,9.0,-2.69,8.04
2026-02-07,GODREJCP,SELL,1181.8,24,28221.39,Mild_Bull,22,Flat,Consumer,66.2,,,End of Backtest,614.18,2.22,9.0,-0.34,2.74
