Date,Strategy,Equity,Regime,Holdings,Cash,Peak,DD
2021-11-26,QUALITY_DIP,1035745.938863774,SIDEWAYS,7,383194.7349310118,1131093.1837186576,-8.429654269634414
2021-11-29,QUALITY_DIP,1028458.3274224668,SIDEWAYS,6,536598.5095342069,1131093.1837186576,-9.073952329794928
2021-11-30,QUALITY_DIP,1035561.3200944334,SIDEWAYS,6,536598.5095342069,1131093.1837186576,-8.445976423458522
2021-12-01,QUALITY_DIP,1036004.0803268248,SIDEWAYS,10,224396.07793691696,1131093.1837186576,-8.40683197110352
2021-12-02,QUALITY_DIP,1041393.433206349,SIDEWAYS,10,224396.07793691696,1131093.1837186576,-7.930359037034036
2021-12-03,QUALITY_DIP,1040465.0180099303,SIDEWAYS,10,224396.07793691696,1131093.1837186576,-8.012440266925852
2021-12-06,QUALITY_DIP,1028993.8844650084,SIDEWAYS,10,224396.07793691696,1131093.1837186576,-9.02660370721895
2021-12-07,QUALITY_DIP,1038102.6739290053,SIDEWAYS,10,224396.07793691696,1131093.1837186576,-8.22129521494688
2021-12-08,QUALITY_DIP,1049343.338941365,SIDEWAYS,10,224396.07793691696,1131093.1837186576,-7.227507508137067
2021-12-09,QUALITY_DIP,1052380.0112607772,SIDEWAYS,10,224396.07793691696,1131093.1837186576,-6.959035169772454
2021-12-10,QUALITY_DIP,1054703.357151776,SIDEWAYS,10,224396.07793691696,1131093.1837186576,-6.753628053502824
2021-12-13,QUALITY_DIP,1050389.056514531,SIDEWAYS,10,224396.07793691696,1131093.1837186576,-7.1350555697629074
2021-12-14,QUALITY_DIP,1047804.9188020522,SIDEWAYS,10,224396.07793691696,1131093.1837186576,-7.363519302873116
2021-12-15,QUALITY_DIP,1043070.399871617,SIDEWAYS,10,224396.07793691696,1131093.1837186576,-7.782098337614503
2021-12-16,QUALITY_DIP,1039057.4486825758,SIDEWAYS,10,224396.07793691696,1131093.1837186576,-8.136883535404122
2021-12-17,QUALITY_DIP,1025305.1489169509,SIDEWAYS,9,321594.0698888213,1131093.1837186576,-9.352724985390758
2021-12-20,QUALITY_DIP,1011252.2659360319,BEAR,8,356144.9881993682,1131093.1837186576,-10.595141011161312
2021-12-21,QUALITY_DIP,1017416.7065440565,SIDEWAYS,8,356144.9881993682,1131093.1837186576,-10.050142535637132
2021-12-22,QUALITY_DIP,1024272.9690514952,SIDEWAYS,8,356144.9881993682,1131093.1837186576,-9.443980054408348
2021-12-23,QUALITY_DIP,1024708.3360482603,SIDEWAYS,8,356144.9881993682,1131093.1837186576,-9.405489238352521
2021-12-24,QUALITY_DIP,1018336.9116746336,SIDEWAYS,8,356144.9881993682,1131093.1837186576,-9.968787158041117
2021-12-27,QUALITY_DIP,1014797.152868405,SIDEWAYS,8,356144.9881993682,1131093.1837186576,-10.281737395667967
2021-12-28,QUALITY_DIP,1020003.1066209227,SIDEWAYS,8,356144.9881993682,1131093.1837186576,-9.821478786788171
2021-12-29,QUALITY_DIP,1022937.2094437988,SIDEWAYS,10,157840.094074002,1131093.1837186576,-9.562074622293984
2021-12-30,QUALITY_DIP,1022575.9426019103,SIDEWAYS,10,157840.094074002,1131093.1837186576,-9.594014240274944
2021-12-31,QUALITY_DIP,1032397.689115277,SIDEWAYS,10,157840.094074002,1131093.1837186576,-8.725673182725993
2022-01-03,QUALITY_DIP,1038030.9109694869,SIDEWAYS,10,157840.094074002,1131093.1837186576,-8.227639781473433
2022-01-04,QUALITY_DIP,1049492.246540776,SIDEWAYS,10,157840.094074002,1131093.1837186576,-7.21434258047643
2022-01-05,QUALITY_DIP,1055510.2789584547,MILD_BULL,9,246449.99579824516,1131093.1837186576,-6.682288059743358
2022-01-06,QUALITY_DIP,1047713.9099837692,SIDEWAYS,9,246449.99579824516,1131093.1837186576,-7.371565396651507
2022-01-07,QUALITY_DIP,1049971.0490609556,SIDEWAYS,9,246449.99579824516,1131093.1837186576,-7.172011627812962
2022-01-10,QUALITY_DIP,1058316.6639596373,MILD_BULL,9,246449.99579824516,1131093.1837186576,-6.4341754336946275
2022-01-11,QUALITY_DIP,1058000.4197665602,MILD_BULL,9,246449.99579824516,1131093.1837186576,-6.462134597239171
2022-01-12,QUALITY_DIP,1064795.836313115,MILD_BULL,10,122727.68677602838,1131093.1837186576,-5.861351510189375
2022-01-13,QUALITY_DIP,1068497.3547848328,SIDEWAYS,10,122727.68677602838,1131093.1837186576,-5.5341000931532935
2022-01-14,QUALITY_DIP,1071320.3764010055,SIDEWAYS,9,238851.3431969268,1131093.1837186576,-5.284516623213921
2022-01-17,QUALITY_DIP,1081769.8883810623,SIDEWAYS,9,238851.3431969268,1131093.1837186576,-4.360674792101276
2022-01-18,QUALITY_DIP,1067389.6013765915,SIDEWAYS,9,238851.3431969268,1131093.1837186576,-5.632036622538025
