ticker,entry_date,exit_date,pnl,days_held,entry_rs,entry_vol,entry_trend,entry_regime,exit_reason,rs_bucket,vol_bucket,hold_bucket
COFORGE,2016-12-27,2017-07-25,24.76694485219494,210,4.02262822585597,31.629856467168977,75,Mild_Bull,Trail,2-5%,30-35%,120-365d
JINDALSTEL,2017-04-13,2017-08-03,16.33239012960268,112,39.86470344379671,48.67734273150812,100,Strong_Bull,Trail,20-50%,45-60%,60-120d
GODREJPROP,2017-05-24,2017-08-03,3.1146878060492034,71,31.354185522833326,42.98492270519754,100,Strong_Bull,Trail,20-50%,35-45%,60-120d
DLF,2017-05-24,2017-08-11,-18.28209493498642,79,24.777262019492674,41.77519285296214,100,Strong_Bull,Stop,20-50%,35-45%,60-120d
ICICIBANK,2016-09-12,2017-09-22,14.543446844076344,375,5.6178247882652395,30.623059081291508,100,Strong_Bull,Trail,5-10%,30-35%,365d+
JSWSTEEL,2017-06-29,2017-09-25,15.339674138677154,88,9.32008516647028,31.817852610841417,100,Strong_Bull,Trail,5-10%,30-35%,60-120d
ASHOKLEY,2017-07-18,2017-11-09,9.38833663025607,114,23.70892391227232,30.40920763700143,100,Strong_Bull,Trail,20-50%,30-35%,60-120d
VEDL,2017-08-03,2017-11-14,10.358987250272229,103,18.677637552285546,30.313822652241406,100,Strong_Bull,Trail,10-20%,30-35%,60-120d
OBEROIRLTY,2017-09-25,2017-12-08,9.387260749992375,74,18.62091081164665,34.81717506009445,100,Mild_Bull,Trail,10-20%,30-35%,60-120d
AUROPHARMA,2017-07-25,2018-01-29,-15.148059758638817,188,13.807155242767479,42.88956781659349,90,Strong_Bull,Stop,10-20%,35-45%,120-365d
FEDERALBNK,2017-05-05,2018-02-01,-15.520418792233112,272,40.165120396925666,37.55383062289467,100,Strong_Bull,Stop,20-50%,35-45%,120-365d
TITAN,2017-08-11,2018-02-01,36.90281209198727,174,22.819370280935885,44.88866674008168,100,Mild_Bull,Trail,20-50%,35-45%,120-365d
MOTHERSON,2016-09-01,2018-02-02,66.57113898626595,519,9.313429451297567,37.56454862262647,100,Strong_Bull,Trail,5-10%,35-45%,365d+
JINDALSTEL,2017-08-03,2018-02-02,76.31946507460398,183,20.391555997453786,45.20028970053636,100,Strong_Bull,Trail,20-50%,45-60%,120-365d
COFORGE,2017-11-09,2018-02-02,19.687888024733258,85,36.2688417615425,33.47116131154391,100,Strong_Bull,Trail,20-50%,30-35%,60-120d
DLF,2017-12-08,2018-02-02,-6.2919411729338695,56,22.443349430194534,38.87150661068019,100,Strong_Bull,Stop,20-50%,35-45%,30-60d
GODREJPROP,2017-11-14,2018-02-05,12.167794164298826,83,32.5233700172196,34.879676414043665,100,Strong_Bull,Trail,20-50%,30-35%,60-120d
DIVISLAB,2017-09-22,2018-02-06,3.396029713505052,137,49.633122802203175,49.739609019300076,90,Strong_Bull,Trail,20-50%,45-60%,120-365d
ABB,2017-05-19,2018-02-16,-0.7990329534669013,273,22.80040455663726,33.25777904443791,100,Strong_Bull,Stop,20-50%,30-35%,120-365d
LTIM,2018-01-29,2018-03-15,4.066403099777038,45,48.08904719238767,32.92502332321656,100,Strong_Bull,Trail,20-50%,30-35%,30-60d
NMDC,2018-02-01,2018-03-19,-16.796063097908913,46,5.099802264497043,30.35190904489112,100,Strong_Bull,Stop,5-10%,30-35%,30-60d
COFORGE,2018-02-02,2018-03-19,11.620244794436422,45,21.285750604764456,43.06262182127353,100,Strong_Bull,Trail,20-50%,35-45%,30-60d
JSWSTEEL,2018-02-06,2018-03-19,0.14121690914884172,41,6.475386591774952,30.159143797723388,100,Mild_Bull,Trail,5-10%,30-35%,30-60d
PERSISTENT,2018-02-23,2018-03-28,-15.545136959604418,33,25.98877744088721,31.109209885197142,100,Mild_Bull,Stop,20-50%,30-35%,30-60d
LTIM,2018-03-15,2018-05-02,14.605285945030616,48,24.855871830412976,46.05555221282987,100,Mild_Bull,Trail,20-50%,45-60%,30-60d
COFORGE,2018-03-19,2018-05-04,16.602429680890502,46,45.17868251946716,50.13646454825217,100,Mild_Bull,Trail,20-50%,45-60%,30-60d
OBEROIRLTY,2018-03-28,2018-05-04,0.8329210038221205,37,12.082413839739162,56.813760304049346,100,Mild_Bull,Trail,10-20%,45-60%,30-60d
SUNPHARMA,2018-02-23,2018-05-11,-17.133328173784705,77,2.2919062065461437,32.90862569963468,100,Mild_Bull,Stop,2-5%,30-35%,60-120d
PRESTIGE,2018-02-01,2018-05-16,-15.6550739033491,104,4.298343145114821,38.09960733600715,100,Strong_Bull,Stop,2-5%,35-45%,60-120d
GODREJPROP,2018-02-05,2018-05-18,-0.4994830225253969,102,8.196667757546312,37.11908564968084,100,Strong_Bull,Stop,5-10%,35-45%,60-120d
ASHOKLEY,2018-02-05,2018-05-18,14.727470046547996,102,3.9264746402854165,30.444719222821636,100,Strong_Bull,Trail,2-5%,30-35%,60-120d
NATIONALUM,2018-05-04,2018-06-21,-16.273141387769414,48,14.700078544945047,43.2326345445051,90,Strong_Bull,Stop,10-20%,35-45%,30-60d
JINDALSTEL,2018-02-02,2018-06-28,-16.224300344526252,146,51.236980326323135,54.62067224502447,100,Strong_Bull,Stop,50%+,45-60%,120-365d
TECHM,2018-04-03,2018-07-06,3.076548508292009,94,24.42295060477536,30.164565464162973,100,Mild_Bull,Trail,20-50%,30-35%,60-120d
JSWSTEEL,2018-03-27,2018-07-18,0.1455236052980974,113,14.704806536788922,32.11737028813661,100,Mild_Bull,Trail,10-20%,30-35%,60-120d
HINDALCO,2018-06-04,2018-07-19,-18.211921301358725,45,2.6233896896418005,42.036773776910266,75,Strong_Bull,Stop,2-5%,35-45%,30-60d
LTIM,2018-05-02,2018-08-03,10.313787159145875,93,22.970322587983528,54.073246500934026,100,Strong_Bull,Trail,20-50%,45-60%,60-120d
OBEROIRLTY,2018-05-11,2018-08-31,-16.399476783638736,112,9.215388569364292,57.207389668385844,100,Strong_Bull,Stop,5-10%,45-60%,60-120d
SBIN,2018-06-06,2018-09-10,5.441415284003099,96,4.303728216716189,30.29286228573604,75,Strong_Bull,Trail,2-5%,30-35%,60-120d
HAVELLS,2018-07-23,2018-09-10,5.1307238209400206,49,9.25178789554608,33.25584007668688,100,Strong_Bull,Trail,5-10%,30-35%,30-60d
COFORGE,2018-05-04,2018-09-21,19.403268702076122,140,23.808701968842175,50.54928759228141,100,Strong_Bull,Trail,20-50%,45-60%,120-365d
ICICIBANK,2018-07-30,2018-09-24,0.9043482108098374,56,3.0362748753380284,32.95079558808118,90,Strong_Bull,Trail,2-5%,30-35%,30-60d
PERSISTENT,2018-05-21,2018-09-26,-0.864559223290696,128,4.388130601346953,41.92698948974128,100,Strong_Bull,Stop,2-5%,35-45%,120-365d
SUNPHARMA,2018-06-28,2018-10-04,5.915103725908273,98,8.011458959694021,36.6479647642973,90,Mild_Bull,Trail,5-10%,35-45%,60-120d
DRREDDY,2018-07-06,2018-10-08,4.028118299717881,94,3.8702224725483103,30.61943578371157,90,Strong_Bull,Trail,2-5%,30-35%,60-120d
LTIM,2018-08-06,2018-10-09,0.74251359672682,64,3.2650285657867375,37.38064682524835,100,Strong_Bull,Trail,2-5%,35-45%,60-120d
JSWSTEEL,2018-09-10,2018-10-26,-15.88984548304312,46,13.267640912742896,33.2877737857045,100,Strong_Bull,Stop,10-20%,30-35%,30-60d
DABUR,2018-09-21,2018-10-31,-15.569432716836209,40,16.388274837653576,32.264899106261524,100,Mild_Bull,Stop,10-20%,30-35%,30-60d
NMDC,2018-10-12,2018-11-28,-15.550556822138287,47,12.35560319127691,37.08081383186272,75,Mild_Bull,Stop,10-20%,35-45%,30-60d
TATASTEEL,2018-09-26,2018-12-06,-16.209563447534634,71,10.141498498049877,32.8448476244526,90,Mild_Bull,Stop,10-20%,30-35%,60-120d
HINDALCO,2018-10-04,2019-01-03,-16.934682625554252,91,12.909571210101383,41.15138378636268,90,Mild_Bull,Stop,10-20%,35-45%,60-120d
FEDERALBNK,2018-12-06,2019-01-25,2.125140500343541,50,13.36315002361316,36.31856161878797,75,Recovery,Trail,10-20%,35-45%,30-60d
CUMMINSIND,2018-10-31,2019-01-29,5.101437710451802,90,19.471927050667684,43.95425712272493,90,Mild_Bull,Trail,10-20%,35-45%,60-120d
BANKBARODA,2019-01-03,2019-02-15,-15.46521444525744,43,18.54155946767963,35.93592654671862,75,Recovery,Stop,10-20%,35-45%,30-60d
DRREDDY,2018-10-09,2019-02-19,3.371847583697065,133,13.475919173075773,35.73382295560281,100,Mild_Bull,Trail,10-20%,35-45%,120-365d
LUPIN,2018-06-21,2019-03-18,-15.946449969706848,270,12.41666540711936,30.45340384959462,90,Strong_Bull,Stop,10-20%,30-35%,120-365d
PRESTIGE,2019-02-19,2019-04-01,13.904615406211823,41,23.201837965076777,46.18900254389171,75,Strong_Bear,Trail,20-50%,45-60%,30-60d
OBEROIRLTY,2019-02-15,2019-04-22,13.334755376291959,66,12.345566765464206,36.16395823117289,90,Strong_Bear,Trail,10-20%,35-45%,60-120d
GODREJPROP,2019-01-25,2019-04-25,17.731118553402077,90,34.479466958294346,34.970553695436315,90,Recovery,Trail,20-50%,30-35%,60-120d
SIEMENS,2019-01-29,2019-05-10,5.84020978809068,101,8.907031446526542,32.07578887217911,100,Strong_Bear,Trail,5-10%,30-35%,60-120d
JINDALSTEL,2019-04-01,2019-05-13,-15.494109843682342,42,5.161809733706997,51.505673287924225,90,Strong_Bull,Stop,5-10%,45-60%,30-60d
AUROPHARMA,2018-09-10,2019-05-17,-15.493418746968516,249,28.15979327046852,34.61312702246258,100,Strong_Bull,Stop,20-50%,30-35%,120-365d
TECHM,2018-09-24,2019-05-22,-0.19961290564966128,240,9.845197607384335,32.93828939625315,100,Mild_Bull,Stop,5-10%,30-35%,120-365d
DIVISLAB,2018-08-31,2019-05-30,21.406693834557903,272,15.778090031406768,33.21772996257868,100,Strong_Bull,Trail,10-20%,30-35%,120-365d
BANKBARODA,2019-05-20,2019-06-06,1.1798265052053971,17,9.659136158050408,44.005235404061786,100,Strong_Bull,Trail,5-10%,35-45%,<30d
PRESTIGE,2019-04-22,2019-06-07,4.355350796929757,46,11.80052784557649,46.352354157606435,100,Strong_Bull,Trail,10-20%,45-60%,30-60d
GODREJPROP,2019-05-15,2019-07-02,15.94229020150297,48,10.266848853806948,48.70450588227504,100,Mild_Bull,Trail,10-20%,45-60%,30-60d
BEL,2019-03-18,2019-07-08,8.078992602957676,112,6.99419895835611,35.07270937957192,75,Strong_Bull,Trail,5-10%,35-45%,60-120d
OBEROIRLTY,2019-05-10,2019-07-08,5.80694972280962,59,11.533970887523088,33.710658420711624,100,Mild_Bull,Trail,10-20%,30-35%,30-60d
TITAN,2018-11-28,2019-07-09,19.069279642766006,223,11.413499388747141,34.3020133052772,90,Recovery,Trail,10-20%,30-35%,120-365d
ONGC,2019-04-25,2019-07-18,-15.072558435021687,84,15.545792456343968,30.4038445975944,100,Strong_Bull,Stop,10-20%,30-35%,60-120d
TRENT,2019-05-22,2019-07-25,7.396119550812077,64,2.4669286294511217,33.77783814261808,100,Strong_Bull,Trail,2-5%,30-35%,60-120d
FEDERALBNK,2019-05-30,2019-07-30,-15.079686654851262,61,25.364670837530795,30.127937425987174,100,Strong_Bull,Stop,20-50%,30-35%,60-120d
SBIN,2019-06-06,2019-07-30,-2.775297883465016,54,15.4778092321431,30.803356293448168,100,Strong_Bull,Stop,10-20%,30-35%,30-60d
SIEMENS,2019-07-02,2019-08-01,-15.639953028411519,30,19.024666603890363,30.70178568255595,100,Strong_Bull,Stop,10-20%,30-35%,<30d
CUMMINSIND,2019-07-08,2019-08-08,-18.43969180296913,31,5.138231810805952,34.14167323543546,90,Mild_Bull,Stop,5-10%,30-35%,30-60d
NMDC,2019-07-18,2019-08-20,-21.369383868416307,33,11.854409843221646,31.683723794362965,100,Mild_Bull,Stop,10-20%,30-35%,30-60d
ICICIBANK,2018-10-29,2019-08-23,13.441906722107575,298,35.70037733788739,38.684478016308134,100,Mild_Bull,Trail,20-50%,35-45%,120-365d
OBEROIRLTY,2019-07-08,2019-08-23,-16.36982543623965,46,3.7622111778810923,46.02880514589364,100,Mild_Bull,Stop,2-5%,45-60%,30-60d
PRESTIGE,2019-06-07,2019-09-17,1.9063277920793185,102,23.776996217778702,51.79600763309021,100,Strong_Bull,Trail,20-50%,45-60%,60-120d
