ticker,period,return,sector,beta,corr,volatility,rs_score,adx,dd,vol_trend,price,ma200
USHAMART.NS,2022_BEAR,28.707626165719454,Iron & Steel Products,1.153022042140907,0.4577363684749242,39.0964524869741,-0.7295236868071648,21.545868163973008,-6.395636940422099,0.749497158667442,90.74930572509766,64.05444520950317
LINDEINDIA.NS,2022_BEAR,27.630095358675426,Industrial Gases,0.5367299749644469,0.2232891587800861,37.30812086555676,-4.268439635383171,14.379265943540771,-11.117593292457848,0.47644847177008914,2491.36474609375,2064.3073156738283
ADANIENT.NS,2022_BEAR,27.589312394760913,Trading - Minerals,1.6910973938753862,0.6561165815355904,40.00394018190158,12.848817850853795,13.49785844106333,-2.603449495671137,0.5838911552066265,1714.09130859375,1444.7500747680665
COROMANDEL.NS,2022_BEAR,27.026271634279453,Fertilizers,0.4930865957641064,0.4405727268785993,17.370837194347704,-5.223194332616106,15.193638344472081,-18.090584548870748,0.39871194274106936,725.4461059570312,769.4784524536133
LEMONTREE.NS,2022_BEAR,26.65974744963353,Hotels & Resorts,1.6580188385049057,0.4790658862539978,53.71670645618899,5.725719491263445,17.459950994625526,-17.324182858137426,0.38390049862063136,48.20000076293945,43.00649989128113
SCHAEFFLER.NS,2022_BEAR,26.14253400365613,Auto Components & Equipments,0.5857612403946234,0.30508414816172635,29.79999223176061,26.243333355446396,14.199041879099386,0.0,1.2149260622097269,1772.360107421875,1263.954181213379
FORCEMOT.NS,2025_CHOP,190.34688705160954,Passenger Cars & Utility Vehicles,0.732054825158101,0.16674445479221206,53.44395308442088,-5.087355067954904,10.056493146313125,-33.208269802361194,0.33456609940025267,6614.84619140625,7848.149060058594
HINDCOPPER.NS,2025_CHOP,148.06923197245243,Copper,1.7468404512248386,0.5435001236141738,39.125505318353326,-21.172720266743603,34.115824755024256,-37.84222709386395,1.369323549322033,246.1208038330078,314.7139542388916
LTF.NS,2025_CHOP,104.70344276687192,Investment Company,1.37715713289007,0.5244751793308737,31.96427970533063,-18.807947796304795,41.93967429930029,-27.532882144268612,0.5646860304196863,135.5863800048828,159.49142051696776
RBLBANK.NS,2025_CHOP,88.86553251750368,Private Sector Bank,1.8471430672082554,0.45109858255949215,49.84658825290575,-14.376498439272249,20.727992036007148,-46.157627684042346,1.0412103031895383,157.228271484375,216.97417236328124
ABCAPITAL.NS,2025_CHOP,86.06144569439596,Investment Company,1.4425211653355003,0.5852321579452021,30.005466173430268,-18.08002890969436,43.90915775404051,-26.343512117086938,0.41844137966480205,179.0,212.86160041809083
MCX.NS,2025_CHOP,85.38263449539429,Exchange and Data Platform,1.0309142600425902,0.35303081957232074,35.54809177237007,15.811421836606797,30.69617444149908,-9.16041057525584,0.5497601867756067,1252.4366455078125,967.6284350585937
GMDCLTD.NS,2025_CHOP,81.38691033957369,Industrial Minerals,2.102865874454318,0.5898203245189982,43.40084709602215,-1.223048394064967,44.04778599476906,-32.936183743712654,0.38332416241996237,317.8288879394531,360.4869676208496
