ticker,entry,exit,pnl,date,sector,entry_trend
ALKEM.NS,4734.49658203125,4821.42626953125,1.8360914617601094,2024-03-19,Pharmaceuticals,75
HAL.NS,2787.91748046875,2941.033203125,5.492118175266281,2024-03-20,Aerospace & Defense,75
CYIENT.NS,2026.5323486328125,1698.69482421875,-16.17726579273388,2024-05-06,IT Enabled Services,75
JKTYRE.NS,458.4154357910156,386.8310241699219,-15.615619813842386,2024-05-07,Tyres & Rubber Products,75
IOC.NS,144.2621612548828,142.75802612304688,-1.0426400926979231,2024-05-09,Refineries & Marketing,75
CHALET.NS,742.577392578125,787.6773681640625,6.073437736820493,2024-05-14,Hotels & Resorts,75
MEDANTA.NS,1209.9144287109375,1239.8037109375,2.47036331804118,2024-05-22,Hospital,75
CHAMBLFERT.NS,345.239013671875,339.2624816894531,-1.7311287964986894,2024-06-04,Fertilizers,75
CESC.NS,114.82347106933594,123.37066650390625,7.443770297981242,2024-06-04,Integrated Power Utilities,75
JUBLPHARMA.NS,564.397216796875,634.53857421875,12.427658275841335,2024-06-04,Pharmaceuticals,75
WOCKPHARMA.NS,542.5,809.2000122070312,49.161292572724655,2024-07-18,Pharmaceuticals,75
CUMMINSIND.NS,3178.075927734375,3503.529296875,10.240578782289765,2024-07-19,Compressors Pumps & Diesel Engines,75
POONAWALLA.NS,459.1499938964844,380.54998779296875,-17.118590253370673,2024-07-24,Non Banking Financial Company (NBFC),75
OFSS.NS,7271.06689453125,9429.439453125,29.68439968853973,2024-08-05,Software Products,75
BOSCHLTD.NS,29070.09375,31409.341796875,8.046922954539836,2024-08-08,Auto Components & Equipments,75
ZYDUSLIFE.NS,954.85302734375,1157.243408203125,21.19597205680889,2024-08-14,Pharmaceuticals,75
TORNTPOWER.NS,1375.2220458984375,1654.388427734375,20.299731426538987,2024-08-14,Integrated Power Utilities,75
GMRAIRPORT.NS,82.69999694824219,91.02999877929688,10.072553976353857,2024-09-06,Airport & Airport services,75
UNOMINDA.NS,972.7085571289062,1033.7708740234375,6.277555229365489,2024-09-10,Auto Components & Equipments,75
KIRLOSENG.NS,1217.514404296875,1197.0333251953125,-1.6822042539521738,2024-09-24,Compressors Pumps & Diesel Engines,75
DMART.NS,4548.75,4737.5498046875,4.150586527892278,2024-10-04,Diversified Retail,75
CERA.NS,9095.7822265625,7672.666015625,-15.645891419668779,2024-10-07,Sanitary Ware,75
SUPREMEIND.NS,5660.8310546875,4438.5263671875,-21.59231879015114,2024-10-22,Plastic Products - Industrial,75
SOLARINDS.NS,10156.470703125,10419.263671875,2.5874437728564743,2024-10-24,Explosives,75
JYOTHYLAB.NS,530.7045288085938,436.82666015625,-17.689291037914273,2024-11-12,Household Products,75
SUZLON.NS,70.93000030517578,59.38999938964844,-16.26956276029406,2024-11-12,Heavy Electrical Equipment,75
BHARATFORG.NS,1580.1416015625,1312.357177734375,-16.946862456081803,2024-11-13,Auto Components & Equipments,75
UTIAMC.NS,1221.947021484375,1193.79736328125,-2.3036725576637407,2024-12-20,Asset Management Company,75
3MINDIA.NS,35410.82421875,29922.009765625,-15.500386037946775,2024-12-27,Diversified,75
ABREL.NS,2706.721923828125,2242.688232421875,-17.143751905994307,2025-01-06,Paper & Paper Products,75
COFORGE.NS,1152.616455078125,1721.1700439453125,49.32721430119186,2025-01-13,Computers - Software & Consulting,85
KIRLOSBROS.NS,2008.8851318359375,1921.0872802734375,-4.370476448410009,2025-01-13,Compressors Pumps & Diesel Engines,75
INDIACEM.NS,363.1000061035156,295.1499938964844,-18.713855980398822,2025-01-24,Cement & Cement Products,75
ABSLAMC.NS,773.7385864257812,626.2416381835938,-19.06289163159575,2025-01-27,Asset Management Company,75
CAPLIPOINT.NS,2252.741943359375,1894.0224609375,-15.923682846999279,2025-01-27,Pharmaceuticals,75
FLUOROCHEM.NS,4148.2236328125,3347.505859375,-19.30266649810807,2025-01-28,Specialty Chemicals,75
ASTERDM.NS,401.1062927246094,463.8657531738281,15.646590838281362,2025-02-03,Hospital,75
AJANTPHARM.NS,2911.5576171875,2467.91748046875,-15.237209598733495,2025-02-13,Pharmaceuticals,75
APLAPOLLO.NS,1568.62890625,1298.5179443359375,-17.21955784684575,2025-02-14,Iron & Steel Products,85
KIMS.NS,591.9500122070312,581.3499755859375,-1.790697930991248,2025-02-14,Hospital,75
BLS.NS,437.4044189453125,369.0911560058594,-15.617872152314527,2025-02-17,Tour Travel Related Services,75
PTCIL.NS,13854.2001953125,10734.650390625,-22.516996728132916,2025-02-18,Other Industrial Products,75
NATIONALUM.NS,202.75341796875,170.77157592773438,-15.773762218866723,2025-02-28,Aluminium,75
COFORGE.NS,1721.1700439453125,1458.7359619140625,-15.247423283622313,2025-02-28,Computers - Software & Consulting,75
REDINGTON.NS,198.48275756835938,219.4364471435547,10.556931912828075,2025-02-28,Trading & Distributors,75
LLOYDSME.NS,1156.735595703125,982.3658447265625,-15.074296288995184,2025-03-03,Industrial Minerals,75
LTFOODS.NS,383.9911804199219,317.30291748046875,-17.367134022850404,2025-03-04,Other Agricultural Products,75
INDHOTEL.NS,757.9711303710938,749.7453002929688,-1.085243190475834,2025-04-07,Hotels & Resorts,75
BAJAJHLDNG.NS,11268.107421875,10704.8876953125,-4.998352478155386,2025-04-07,Holding Company,75
MUTHOOTFIN.NS,2107.01416015625,2114.07763671875,0.33523631193708703,2025-04-09,Non Banking Financial Company (NBFC),75
FIVESTAR.NS,758.869873046875,751.84423828125,-0.925802303551327,2025-04-29,Non Banking Financial Company (NBFC),85
GODREJAGRO.NS,779.295166015625,659.2897338867188,-15.399227065974141,2025-05-05,Animal Feed,75
ASTRAZEN.NS,6953.5322265625,7943.34912109375,14.234735128574632,2025-05-09,Pharmaceuticals,75
MAPMYINDIA.NS,1661.5555419921875,1766.94970703125,6.34310213384116,2025-06-12,Software Products,70
NUVAMA.NS,1077.7667236328125,1384.144775390625,28.427121105122684,2025-07-04,Stockbroking & Allied,75
MGL.NS,1260.2830810546875,1361.3109130859375,8.016280909421024,2025-07-25,LPG/CNG/PNG/LNG Supplier,70
SRF.NS,2706.650634765625,2898.749267578125,7.0972821665672505,2025-08-07,Specialty Chemicals,75
JWL.NS,395.3999938964844,331.95001220703125,-16.04703658798344,2025-08-08,Railway Wagons,70
BERGEPAINT.NS,508.5370178222656,533.4500122070312,4.898953962378556,2025-08-14,Paints,70
CEATLTD.NS,3576.0625,3039.300048828125,-15.009873322176976,2025-08-26,Tyres & Rubber Products,75
JKCEMENT.NS,4646.0654296875,6755.5,45.40260145355687,2025-09-03,Cement & Cement Products,75
ZFCVINDIA.NS,12421.2900390625,13240.0,6.591183028194488,2025-09-19,Auto Components & Equipments,70
TECHNOE.NS,1387.318115234375,1376.9000244140625,-0.7509518333185217,2025-09-24,Civil Construction,75
UPL.NS,608.6798095703125,648.0,6.459913703634254,2025-09-26,Pesticides & Agrochemicals,75
GMDCLTD.NS,394.6358947753906,567.0999755859375,43.70207654544598,2025-10-17,Industrial Minerals,80
MEDANTA.NS,1208.065185546875,1274.5999755859375,5.507549661647031,2025-11-03,Hospital,75
JMFINANCIL.NS,169.92967224121094,140.05999755859375,-17.577668625299253,2025-11-21,Holding Company,75
INDIGO.NS,4590.94189453125,5436.5,18.41796574415334,2025-12-04,Airline,85
INTELLECT.NS,1036.4000244140625,1056.0999755859375,1.9008057417803068,2025-12-05,Computers - Software & Consulting,75
EIDPARRY.NS,1123.5999755859375,939.7000122070312,-16.367031628227448,2026-01-09,Other Food Products,75
SARDAEN.NS,546.1500244140625,462.3999938964844,-15.33461993477514,2026-01-20,Iron & Steel,75
GRANULES.NS,544.2000122070312,552.75,1.5711112828340141,2026-01-20,Pharmaceuticals,75
PAYTM.NS,1125.199951171875,1138.800048828125,1.2086827449721935,2026-01-23,Financial Technology (Fintech),75
AGARWALEYE.NS,503.3500061035156,422.1499938964844,-16.131918391261962,2026-01-29,Hospital,75
MCX.NS,1538.4000244140625,2321.800048828125,50.92303770031723,2026-02-02,Exchange and Data Platform,75
