Period,Sector,Window,Avg_2M%,Win%
15Y,Passenger Cars & Utility Vehicles,Mar-Apr,6.09,62.0
15Y,Passenger Cars & Utility Vehicles,Apr-May,8.46,69.0
15Y,Passenger Cars & Utility Vehicles,May-Jun,7.03,62.0
15Y,Passenger Cars & Utility Vehicles,Jun-Jul,8.18,81.0
15Y,Passenger Cars & Utility Vehicles,Jul-Aug,6.68,56.0
15Y,Passenger Cars & Utility Vehicles,Aug-Sep,6.97,69.0
15Y,Passenger Cars & Utility Vehicles,Sep-Oct,4.4,69.0
15Y,Passenger Cars & Utility Vehicles,Oct-Nov,2.29,56.0
15Y,Passenger Cars & Utility Vehicles,Nov-Dec,4.02,50.0
15Y,Auto Components & Equipments,Jan-Feb,1.4,44.0
15Y,Auto Components & Equipments,Feb-Mar,1.87,44.0
15Y,Auto Components & Equipments,Mar-Apr,5.52,62.0
15Y,Auto Components & Equipments,Apr-May,7.1,81.0
15Y,Auto Components & Equipments,May-Jun,6.22,56.0
15Y,Auto Components & Equipments,Jun-Jul,7.16,75.0
15Y,Auto Components & Equipments,Jul-Aug,6.65,69.0
15Y,Auto Components & Equipments,Aug-Sep,5.32,75.0
15Y,Auto Components & Equipments,Sep-Oct,3.69,62.0
15Y,Auto Components & Equipments,Oct-Nov,4.76,62.0
15Y,Auto Components & Equipments,Nov-Dec,5.37,75.0
15Y,Industrial Products,Jan-Feb,-10.02,20.0
15Y,Industrial Products,Feb-Mar,4.52,40.0
15Y,Industrial Products,Mar-Apr,11.56,60.0
15Y,Industrial Products,Apr-May,19.15,60.0
15Y,Industrial Products,May-Jun,23.91,60.0
15Y,Industrial Products,Jun-Jul,13.26,60.0
15Y,Industrial Products,Jul-Aug,6.91,20.0
15Y,Industrial Products,Aug-Sep,2.99,40.0
15Y,Industrial Products,Sep-Oct,0.13,40.0
15Y,Industrial Products,Oct-Nov,2.02,60.0
15Y,Industrial Products,Nov-Dec,3.1,60.0
15Y,Non Banking Financial Company (NBFC),Jan-Feb,3.54,44.0
15Y,Non Banking Financial Company (NBFC),Feb-Mar,1.73,50.0
15Y,Non Banking Financial Company (NBFC),Mar-Apr,3.57,62.0
15Y,Non Banking Financial Company (NBFC),Apr-May,4.94,62.0
15Y,Non Banking Financial Company (NBFC),May-Jun,6.18,69.0
15Y,Non Banking Financial Company (NBFC),Jun-Jul,7.85,75.0
15Y,Non Banking Financial Company (NBFC),Jul-Aug,5.34,69.0
15Y,Non Banking Financial Company (NBFC),Aug-Sep,4.27,75.0
15Y,Non Banking Financial Company (NBFC),Sep-Oct,5.34,75.0
15Y,Non Banking Financial Company (NBFC),Oct-Nov,6.0,69.0
15Y,Non Banking Financial Company (NBFC),Nov-Dec,3.72,69.0
15Y,Industrial Minerals,Jan-Feb,0.11,31.0
15Y,Industrial Minerals,Feb-Mar,-1.93,38.0
15Y,Industrial Minerals,Mar-Apr,5.63,75.0
15Y,Industrial Minerals,Apr-May,4.49,56.0
15Y,Industrial Minerals,May-Jun,2.17,50.0
15Y,Industrial Minerals,Jun-Jul,4.88,62.0
15Y,Industrial Minerals,Jul-Aug,5.48,56.0
15Y,Industrial Minerals,Aug-Sep,5.61,69.0
15Y,Industrial Minerals,Sep-Oct,7.77,81.0
15Y,Industrial Minerals,Oct-Nov,5.04,62.0
15Y,Industrial Minerals,Nov-Dec,5.6,69.0
15Y,Packaged Foods,Jan-Feb,-2.17,25.0
15Y,Packaged Foods,Feb-Mar,0.73,25.0
15Y,Packaged Foods,Mar-Apr,7.74,81.0
15Y,Packaged Foods,Apr-May,8.83,81.0
15Y,Packaged Foods,May-Jun,5.55,69.0
15Y,Packaged Foods,Jun-Jul,7.02,62.0
15Y,Packaged Foods,Jul-Aug,7.23,69.0
15Y,Packaged Foods,Aug-Sep,5.69,69.0
15Y,Packaged Foods,Sep-Oct,5.9,62.0
15Y,Packaged Foods,Oct-Nov,4.35,62.0
15Y,Packaged Foods,Nov-Dec,1.98,56.0
15Y,Computers - Software & Consulting,Jan-Feb,1.25,62.0
15Y,Computers - Software & Consulting,Feb-Mar,-1.46,56.0
15Y,Computers - Software & Consulting,Mar-Apr,0.79,56.0
15Y,Computers - Software & Consulting,Apr-May,4.57,69.0
15Y,Computers - Software & Consulting,May-Jun,6.32,69.0
15Y,Computers - Software & Consulting,Jun-Jul,7.97,69.0
15Y,Computers - Software & Consulting,Jul-Aug,6.82,69.0
15Y,Computers - Software & Consulting,Aug-Sep,3.3,69.0
15Y,Computers - Software & Consulting,Sep-Oct,3.66,62.0
15Y,Computers - Software & Consulting,Oct-Nov,5.96,69.0
15Y,Computers - Software & Consulting,Nov-Dec,7.39,69.0
15Y,Iron & Steel Products,Jan-Feb,-1.14,38.0
15Y,Iron & Steel Products,Feb-Mar,-0.17,56.0
15Y,Iron & Steel Products,Mar-Apr,9.65,69.0
15Y,Iron & Steel Products,Apr-May,6.63,56.0
15Y,Iron & Steel Products,May-Jun,3.74,44.0
15Y,Iron & Steel Products,Jun-Jul,7.62,62.0
15Y,Iron & Steel Products,Jul-Aug,3.32,44.0
15Y,Iron & Steel Products,Aug-Sep,1.67,56.0
15Y,Iron & Steel Products,Sep-Oct,5.35,69.0
15Y,Iron & Steel Products,Oct-Nov,5.57,75.0
15Y,Iron & Steel Products,Nov-Dec,4.91,56.0
