Period,Sector,Month,Month_Name,Avg%,Median%,StdDev%,Win%,Best%,Worst%,Alpha%,Consistency%,Score,N_Years
10Y,Industrial Minerals,6,Jun,2.48,4.67,6.62,60.0,10.02,-6.94,0.88,60.0,0.893,10
10Y,Industrial Minerals,7,Jul,4.58,5.6,9.01,80.0,15.99,-14.64,1.5,70.0,2.565,10
10Y,Industrial Minerals,8,Aug,5.68,8.3,8.89,70.0,16.53,-8.01,4.24,70.0,2.785,10
10Y,Industrial Minerals,9,Sep,1.21,-0.09,10.49,50.0,17.5,-17.97,1.48,70.0,0.422,10
10Y,Industrial Minerals,10,Oct,5.02,4.36,9.93,70.0,22.3,-8.99,4.11,70.0,2.459,10
10Y,Industrial Minerals,11,Nov,1.32,-0.41,8.4,50.0,15.92,-9.83,-0.59,70.0,0.462,10
10Y,Industrial Minerals,12,Dec,9.38,7.1,10.91,80.0,28.64,-6.19,7.83,70.0,5.25,10
10Y,Iron & Steel,1,Jan,1.27,0.68,8.9,50.0,19.76,-14.03,1.41,80.0,0.509,10
10Y,Iron & Steel,2,Feb,1.77,-0.04,8.84,50.0,15.29,-12.87,2.79,60.0,0.531,10
10Y,Iron & Steel,3,Mar,0.76,5.18,15.63,80.0,15.68,-36.55,-0.01,90.0,0.546,10
10Y,Iron & Steel,4,Apr,9.76,7.98,12.06,70.0,35.78,-3.04,6.61,70.0,4.783,10
10Y,Iron & Steel,5,May,-3.07,1.1,9.22,60.0,6.57,-25.92,-4.41,80.0,-1.474,10
10Y,Iron & Steel,6,Jun,3.32,3.42,7.84,70.0,17.88,-9.21,1.72,80.0,1.859,10
10Y,Iron & Steel,7,Jul,7.2,11.08,11.92,70.0,20.91,-15.12,4.12,80.0,4.029,10
10Y,Iron & Steel,8,Aug,4.76,5.13,10.23,80.0,22.74,-13.88,3.32,70.0,2.665,10
10Y,Iron & Steel,9,Sep,-0.01,0.21,6.48,50.0,8.52,-12.18,0.26,70.0,-0.004,10
10Y,Iron & Steel,10,Oct,4.16,5.56,10.81,70.0,18.96,-10.27,3.25,50.0,1.455,10
10Y,Iron & Steel,11,Nov,2.96,-1.36,12.49,40.0,25.42,-12.8,1.05,70.0,0.828,10
10Y,Iron & Steel,12,Dec,6.71,8.08,6.97,70.0,18.33,-3.9,5.17,50.0,2.35,10
10Y,Exchange and Data Platform,1,Jan,-0.56,-2.64,4.82,22.0,9.48,-5.77,0.1,67.0,-0.083,9
10Y,Exchange and Data Platform,2,Feb,-4.02,-4.68,5.19,22.0,3.33,-12.1,-2.47,56.0,-0.496,9
10Y,Exchange and Data Platform,3,Mar,2.2,1.02,13.94,50.0,21.55,-24.18,2.99,75.0,0.825,8
10Y,Exchange and Data Platform,4,Apr,8.63,10.39,6.79,88.0,16.64,-2.73,5.05,75.0,5.666,8
10Y,Exchange and Data Platform,5,May,4.0,2.78,10.18,62.0,20.55,-9.78,3.24,75.0,1.876,8
10Y,Exchange and Data Platform,6,Jun,0.88,-0.86,8.12,38.0,11.79,-14.1,-1.05,75.0,0.248,8
10Y,Exchange and Data Platform,7,Jul,5.18,6.02,12.8,75.0,19.65,-18.76,2.59,75.0,2.915,8
10Y,Exchange and Data Platform,8,Aug,3.4,2.08,6.72,62.0,12.59,-4.63,1.62,50.0,1.064,8
10Y,Exchange and Data Platform,9,Sep,4.12,4.58,10.2,62.0,16.54,-10.37,4.05,62.0,1.611,8
10Y,Exchange and Data Platform,10,Oct,6.03,7.31,8.06,67.0,17.48,-6.28,5.05,67.0,2.68,9
10Y,Exchange and Data Platform,11,Nov,4.96,2.58,9.84,67.0,28.11,-5.57,2.31,78.0,2.574,9
10Y,Exchange and Data Platform,12,Dec,2.18,0.57,4.18,67.0,7.95,-3.81,0.41,67.0,0.968,9
10Y,Cables - Electricals,1,Jan,-0.88,-3.84,9.36,43.0,10.0,-14.08,0.61,71.0,-0.268,7
10Y,Cables - Electricals,2,Feb,-1.71,-1.4,12.83,43.0,11.29,-22.86,-0.47,57.0,-0.418,7
10Y,Cables - Electricals,3,Mar,-2.0,4.91,17.4,83.0,7.44,-37.32,-0.34,83.0,-1.389,6
10Y,Cables - Electricals,4,Apr,4.82,4.55,5.99,86.0,11.0,-4.84,1.61,71.0,2.953,7
10Y,Cables - Electricals,5,May,7.31,9.3,10.98,71.0,18.81,-8.9,6.44,71.0,3.73,7
10Y,Cables - Electricals,6,Jun,7.02,4.3,10.7,71.0,25.13,-4.84,4.79,71.0,3.582,7
10Y,Cables - Electricals,7,Jul,2.59,0.46,10.04,57.0,21.28,-11.15,0.49,71.0,1.058,7
10Y,Cables - Electricals,8,Aug,3.82,4.99,6.1,71.0,11.36,-5.75,2.19,57.0,1.56,7
10Y,Cables - Electricals,9,Sep,5.62,4.5,7.76,86.0,14.31,-6.27,4.62,57.0,2.753,7
10Y,Cables - Electricals,10,Oct,0.64,3.27,8.71,57.0,10.73,-10.12,-0.53,43.0,0.156,7
10Y,Cables - Electricals,11,Nov,5.38,2.14,8.2,57.0,14.79,-2.71,2.49,71.0,2.196,7
10Y,Cables - Electricals,12,Dec,2.92,1.94,4.29,71.0,10.67,-1.65,1.05,71.0,1.49,7
10Y,Depositories Clearing Houses and Other Intermediaries,1,Jan,-6.68,-5.29,16.29,25.0,11.72,-27.87,-5.15,50.0,-0.835,4
10Y,Depositories Clearing Houses and Other Intermediaries,2,Feb,-2.77,-1.72,10.24,50.0,8.34,-15.97,-1.33,50.0,-0.692,4
10Y,Depositories Clearing Houses and Other Intermediaries,3,Mar,-0.29,-7.7,13.78,33.0,15.61,-8.79,-3.02,67.0,-0.065,3
10Y,Depositories Clearing Houses and Other Intermediaries,4,Apr,12.1,9.81,5.54,100.0,18.41,8.07,9.17,67.0,8.064,3
10Y,Depositories Clearing Houses and Other Intermediaries,5,May,2.81,2.45,2.96,100.0,5.94,0.05,1.49,67.0,1.876,3
10Y,Depositories Clearing Houses and Other Intermediaries,6,Jun,9.57,6.38,6.31,100.0,16.84,5.49,5.17,67.0,6.38,3
10Y,Depositories Clearing Houses and Other Intermediaries,7,Jul,3.24,7.35,18.07,67.0,18.91,-16.53,1.93,67.0,1.441,3
10Y,Depositories Clearing Houses and Other Intermediaries,8,Aug,3.48,3.86,6.17,67.0,9.45,-2.88,4.4,67.0,1.545,3
10Y,Depositories Clearing Houses and Other Intermediaries,9,Sep,4.3,2.28,4.97,100.0,9.96,0.65,2.62,67.0,2.864,3
10Y,Depositories Clearing Houses and Other Intermediaries,10,Oct,1.91,2.09,4.21,67.0,6.03,-2.39,3.43,67.0,0.849,3
10Y,Depositories Clearing Houses and Other Intermediaries,11,Nov,11.43,11.31,12.61,67.0,24.09,-1.12,9.07,67.0,5.079,3
10Y,Depositories Clearing Houses and Other Intermediaries,12,Dec,-0.55,-5.06,9.82,25.0,14.12,-6.19,-1.09,75.0,-0.103,4
10Y,Passenger Cars & Utility Vehicles,1,Jan,1.82,3.8,6.51,70.0,10.22,-10.02,1.95,70.0,0.889,10
10Y,Passenger Cars & Utility Vehicles,2,Feb,0.03,-2.57,12.65,40.0,23.23,-18.67,1.05,60.0,0.007,10
10Y,Passenger Cars & Utility Vehicles,3,Mar,-0.48,2.58,14.9,70.0,16.5,-39.75,-1.25,80.0,-0.267,10
10Y,Passenger Cars & Utility Vehicles,4,Apr,6.25,7.06,9.98,80.0,28.88,-8.13,3.1,70.0,3.501,10
10Y,Passenger Cars & Utility Vehicles,5,May,3.32,1.31,5.79,80.0,15.21,-3.02,1.98,70.0,1.861,10
10Y,Passenger Cars & Utility Vehicles,6,Jun,5.79,3.88,9.3,80.0,24.96,-8.14,4.19,80.0,3.703,10
10Y,Passenger Cars & Utility Vehicles,7,Jul,4.77,4.38,7.59,90.0,14.48,-12.02,1.7,70.0,3.006,10
10Y,Passenger Cars & Utility Vehicles,8,Aug,5.76,9.81,8.33,56.0,15.89,-6.59,3.99,78.0,2.489,9
10Y,Passenger Cars & Utility Vehicles,9,Sep,1.14,2.37,7.27,70.0,13.9,-14.38,1.42,80.0,0.641,10
10Y,Passenger Cars & Utility Vehicles,10,Oct,0.65,0.82,5.71,60.0,10.99,-6.59,-0.26,70.0,0.273,10
10Y,Passenger Cars & Utility Vehicles,11,Nov,2.49,2.32,6.2,50.0,12.74,-7.4,0.58,80.0,0.996,10
10Y,Passenger Cars & Utility Vehicles,12,Dec,3.88,1.9,10.32,70.0,31.37,-5.73,2.33,90.0,2.444,10
10Y,IT Enabled Services,1,Jan,0.01,-0.17,7.74,43.0,12.82,-11.0,1.5,71.0,0.004,7
10Y,IT Enabled Services,2,Feb,-0.3,-2.7,9.8,43.0,18.61,-11.74,0.94,71.0,-0.093,7
10Y,IT Enabled Services,3,Mar,-5.2,-0.76,17.13,50.0,9.87,-38.86,-3.54,83.0,-2.166,6
10Y,IT Enabled Services,4,Apr,2.51,2.15,9.29,50.0,16.12,-9.16,-0.98,67.0,0.838,6
10Y,IT Enabled Services,5,May,1.6,3.94,8.63,67.0,11.87,-12.73,0.83,67.0,0.71,6
10Y,IT Enabled Services,6,Jun,4.74,5.27,7.78,67.0,14.3,-5.36,1.94,67.0,2.104,6
10Y,IT Enabled Services,7,Jul,6.78,5.07,7.87,83.0,18.09,-1.2,3.38,67.0,3.768,6
10Y,IT Enabled Services,8,Aug,7.63,6.18,8.64,71.0,23.72,-2.25,6.0,71.0,3.892,7
10Y,IT Enabled Services,9,Sep,4.86,5.24,7.27,71.0,13.62,-4.38,3.86,43.0,1.487,7
10Y,IT Enabled Services,10,Oct,-0.53,-0.45,5.02,43.0,7.56,-7.22,-1.69,71.0,-0.161,7
10Y,IT Enabled Services,11,Nov,7.59,5.88,7.9,86.0,18.73,-4.63,4.7,57.0,3.716,7
10Y,IT Enabled Services,12,Dec,4.4,1.74,8.22,71.0,17.1,-6.75,2.53,57.0,1.797,7
10Y,Holding Company,1,Jan,-0.81,-2.76,6.34,30.0,9.32,-8.83,-0.67,60.0,-0.146,10
10Y,Holding Company,2,Feb,2.85,-0.12,6.78,50.0,16.21,-4.19,3.87,70.0,0.998,10
10Y,Holding Company,3,Mar,-3.0,-0.72,16.13,50.0,14.11,-44.75,-3.77,80.0,-1.2,10
10Y,Holding Company,4,Apr,6.0,5.66,4.77,90.0,13.26,-3.95,2.84,80.0,4.319,10
10Y,Holding Company,5,May,3.54,4.11,7.01,60.0,14.05,-6.04,2.19,60.0,1.273,10
10Y,Holding Company,6,Jun,4.49,1.31,9.67,60.0,23.12,-5.05,2.89,80.0,2.153,10
10Y,Holding Company,7,Jul,8.39,8.96,9.54,80.0,21.91,-11.39,5.31,80.0,5.371,10
10Y,Holding Company,8,Aug,4.02,2.65,4.32,90.0,13.97,-1.31,2.58,80.0,2.896,10
10Y,Holding Company,9,Sep,2.68,3.78,9.1,60.0,15.14,-13.3,2.95,60.0,0.965,10
10Y,Holding Company,10,Oct,1.42,-1.38,7.78,40.0,18.68,-10.52,0.52,80.0,0.456,10
10Y,Holding Company,11,Nov,2.97,-1.24,12.02,40.0,31.25,-10.46,1.06,80.0,0.949,10
10Y,Holding Company,12,Dec,0.8,1.6,4.49,80.0,7.03,-7.78,-0.75,70.0,0.449,10
10Y,Residential Commercial Projects,1,Jan,0.65,0.72,8.66,60.0,13.96,-14.35,0.79,70.0,0.272,10
10Y,Residential Commercial Projects,2,Feb,-1.35,-2.01,9.51,40.0,12.52,-15.38,-0.33,70.0,-0.378,10
10Y,Residential Commercial Projects,3,Mar,0.13,1.5,15.78,50.0,15.93,-38.61,-0.64,80.0,0.054,10
10Y,Residential Commercial Projects,4,Apr,5.22,7.07,7.07,70.0,14.29,-5.2,2.06,60.0,2.192,10
10Y,Residential Commercial Projects,5,May,2.18,3.98,7.15,70.0,10.69,-7.75,0.84,60.0,0.915,10
10Y,Residential Commercial Projects,6,Jun,5.13,3.19,8.43,80.0,23.41,-5.69,3.53,70.0,2.871,10
10Y,Residential Commercial Projects,7,Jul,5.03,3.83,8.09,70.0,19.21,-5.57,1.95,60.0,2.111,10
10Y,Residential Commercial Projects,8,Aug,2.27,0.62,6.23,60.0,17.52,-5.21,0.83,80.0,1.091,10
10Y,Residential Commercial Projects,9,Sep,1.63,0.24,11.03,50.0,27.87,-14.76,1.9,80.0,0.65,10
10Y,Residential Commercial Projects,10,Oct,3.63,3.42,7.4,60.0,14.31,-8.91,2.72,60.0,1.307,10
10Y,Residential Commercial Projects,11,Nov,4.35,3.08,10.74,80.0,22.47,-15.63,2.44,70.0,2.438,10
10Y,Residential Commercial Projects,12,Dec,4.24,3.98,5.86,70.0,17.05,-2.45,2.69,70.0,2.077,10
10Y,Stockbroking & Allied,1,Jan,-6.24,-2.4,12.72,33.0,9.24,-22.8,-4.79,50.0,-1.04,6
10Y,Stockbroking & Allied,2,Feb,-2.24,-2.33,5.88,33.0,5.74,-11.44,-1.85,67.0,-0.497,6
10Y,Stockbroking & Allied,3,Mar,4.15,4.89,3.68,80.0,7.71,-2.07,1.49,80.0,2.657,5
10Y,Stockbroking & Allied,4,Apr,7.81,7.62,5.84,100.0,15.52,1.54,6.55,60.0,4.686,5
10Y,Stockbroking & Allied,5,May,0.41,-1.06,14.71,50.0,18.93,-15.15,0.17,50.0,0.103,4
10Y,Stockbroking & Allied,6,Jun,6.64,10.88,9.92,80.0,16.99,-8.6,4.8,60.0,3.189,5
10Y,Stockbroking & Allied,7,Jul,8.69,8.48,12.2,80.0,26.8,-7.56,6.11,60.0,4.172,5
10Y,Stockbroking & Allied,8,Aug,1.73,1.88,7.16,60.0,8.27,-9.01,-0.15,80.0,0.831,5
10Y,Stockbroking & Allied,9,Sep,1.16,1.65,2.53,80.0,3.97,-2.55,0.34,60.0,0.559,5
10Y,Stockbroking & Allied,10,Oct,8.88,7.35,7.51,100.0,21.08,1.59,8.1,83.0,7.397,6
10Y,Stockbroking & Allied,11,Nov,2.88,3.24,7.35,50.0,12.95,-7.52,-0.24,67.0,0.959,6
10Y,Stockbroking & Allied,12,Dec,1.37,0.23,7.7,50.0,13.82,-6.09,-0.66,83.0,0.57,6
10Y,Integrated Power Utilities,1,Jan,0.2,-0.86,7.46,50.0,12.45,-9.14,0.34,60.0,0.06,10
10Y,Integrated Power Utilities,2,Feb,-1.13,-2.81,8.21,30.0,14.68,-11.76,-0.11,70.0,-0.237,10
10Y,Integrated Power Utilities,3,Mar,3.92,6.26,14.25,80.0,17.9,-28.93,3.15,80.0,2.51,10
10Y,Integrated Power Utilities,4,Apr,7.65,6.39,8.81,80.0,22.37,-3.26,4.49,60.0,3.672,10
10Y,Integrated Power Utilities,5,May,-0.25,0.84,5.77,50.0,6.79,-9.71,-1.6,70.0,-0.089,10
10Y,Integrated Power Utilities,6,Jun,2.0,3.45,8.44,70.0,14.7,-13.0,0.41,70.0,0.982,10
10Y,Integrated Power Utilities,7,Jul,5.95,4.39,9.21,70.0,26.79,-3.39,2.87,80.0,3.333,10
10Y,Integrated Power Utilities,8,Aug,3.92,5.69,6.27,70.0,13.96,-5.08,2.48,60.0,1.647,10
10Y,Integrated Power Utilities,9,Sep,-0.34,0.77,10.15,50.0,11.26,-20.22,-0.07,70.0,-0.12,10
10Y,Integrated Power Utilities,10,Oct,4.81,1.85,11.06,60.0,30.3,-6.89,3.9,80.0,2.308,10
10Y,Integrated Power Utilities,11,Nov,2.7,1.62,8.12,60.0,19.52,-9.35,0.79,80.0,1.296,10
10Y,Integrated Power Utilities,12,Dec,2.82,-0.24,7.98,50.0,19.72,-5.83,1.27,70.0,0.986,10
10Y,Fertilizers,1,Jan,4.74,4.78,9.04,70.0,18.62,-7.19,4.87,60.0,1.989,10
10Y,Fertilizers,2,Feb,-7.56,-10.69,9.78,20.0,10.91,-21.6,-6.54,70.0,-1.058,10
