Period,Sector,Month,Month_Name,Avg%,Median%,StdDev%,Win%,Best%,Worst%,Alpha%,Consistency%,Score,N_Years
15Y,Depositories Clearing Houses and Other Intermediaries,3,Mar,-0.29,-7.7,13.78,33.0,15.61,-8.79,-3.02,67.0,-0.065,3
15Y,Depositories Clearing Houses and Other Intermediaries,4,Apr,12.1,9.81,5.54,100.0,18.41,8.07,9.17,67.0,8.064,3
15Y,Depositories Clearing Houses and Other Intermediaries,5,May,2.81,2.45,2.96,100.0,5.94,0.05,1.49,67.0,1.876,3
15Y,Depositories Clearing Houses and Other Intermediaries,6,Jun,9.57,6.38,6.31,100.0,16.84,5.49,5.17,67.0,6.38,3
15Y,Depositories Clearing Houses and Other Intermediaries,7,Jul,3.24,7.35,18.07,67.0,18.91,-16.53,1.93,67.0,1.441,3
15Y,Depositories Clearing Houses and Other Intermediaries,8,Aug,3.48,3.86,6.17,67.0,9.45,-2.88,4.4,67.0,1.545,3
15Y,Depositories Clearing Houses and Other Intermediaries,9,Sep,4.3,2.28,4.97,100.0,9.96,0.65,2.62,67.0,2.864,3
15Y,Depositories Clearing Houses and Other Intermediaries,10,Oct,1.91,2.09,4.21,67.0,6.03,-2.39,3.43,67.0,0.849,3
15Y,Depositories Clearing Houses and Other Intermediaries,11,Nov,11.43,11.31,12.61,67.0,24.09,-1.12,9.07,67.0,5.079,3
15Y,Depositories Clearing Houses and Other Intermediaries,12,Dec,-0.55,-5.06,9.82,25.0,14.12,-6.19,-1.09,75.0,-0.103,4
15Y,Specialty Chemicals,1,Jan,-0.03,-1.13,6.4,33.0,12.08,-8.38,-0.78,67.0,-0.006,15
15Y,Specialty Chemicals,2,Feb,-0.47,-0.36,6.37,40.0,10.49,-9.99,0.63,53.0,-0.1,15
15Y,Specialty Chemicals,3,Mar,4.01,5.44,9.33,67.0,19.16,-18.48,2.8,80.0,2.138,15
15Y,Specialty Chemicals,4,Apr,7.97,6.23,8.09,80.0,24.65,-1.6,5.98,67.0,4.25,15
15Y,Specialty Chemicals,5,May,1.49,-1.87,8.6,47.0,25.54,-7.28,0.53,80.0,0.556,15
15Y,Specialty Chemicals,6,Jun,3.24,2.6,7.52,73.0,22.32,-6.69,1.34,67.0,1.583,15
15Y,Specialty Chemicals,7,Jul,4.54,4.56,7.42,73.0,13.21,-9.03,2.63,53.0,1.775,15
15Y,Specialty Chemicals,8,Aug,3.37,4.21,6.89,67.0,15.04,-6.68,3.5,60.0,1.346,15
15Y,Specialty Chemicals,9,Sep,2.8,4.09,4.53,80.0,9.13,-5.84,2.19,67.0,1.495,15
15Y,Specialty Chemicals,10,Oct,2.14,1.29,6.16,53.0,15.27,-6.59,0.07,67.0,0.763,15
15Y,Specialty Chemicals,11,Nov,1.79,2.28,7.47,53.0,16.48,-9.69,0.85,67.0,0.636,15
15Y,Specialty Chemicals,12,Dec,2.79,2.04,7.22,67.0,12.64,-12.59,2.11,67.0,1.242,15
15Y,IT Enabled Services,1,Jan,0.01,-0.17,7.74,43.0,12.82,-11.0,1.5,71.0,0.004,7
15Y,IT Enabled Services,2,Feb,-0.3,-2.7,9.8,43.0,18.61,-11.74,0.94,71.0,-0.093,7
15Y,IT Enabled Services,3,Mar,-5.2,-0.76,17.13,50.0,9.87,-38.86,-3.54,83.0,-2.166,6
15Y,IT Enabled Services,4,Apr,2.51,2.15,9.29,50.0,16.12,-9.16,-0.98,67.0,0.838,6
15Y,IT Enabled Services,5,May,1.6,3.94,8.63,67.0,11.87,-12.73,0.83,67.0,0.71,6
15Y,IT Enabled Services,6,Jun,4.74,5.27,7.78,67.0,14.3,-5.36,1.94,67.0,2.104,6
15Y,IT Enabled Services,7,Jul,6.78,5.07,7.87,83.0,18.09,-1.2,3.38,67.0,3.768,6
15Y,IT Enabled Services,8,Aug,7.63,6.18,8.64,71.0,23.72,-2.25,6.0,71.0,3.892,7
15Y,IT Enabled Services,9,Sep,4.86,5.24,7.27,71.0,13.62,-4.38,3.86,43.0,1.487,7
15Y,IT Enabled Services,10,Oct,-0.53,-0.45,5.02,43.0,7.56,-7.22,-1.69,71.0,-0.161,7
15Y,IT Enabled Services,11,Nov,7.59,5.88,7.9,86.0,18.73,-4.63,4.7,57.0,3.716,7
15Y,IT Enabled Services,12,Dec,4.4,1.74,8.22,71.0,17.1,-6.75,2.53,57.0,1.797,7
15Y,Electrodes & Refractories,1,Jan,-4.15,-3.56,10.14,21.0,17.15,-23.85,-4.08,64.0,-0.572,14
15Y,Electrodes & Refractories,2,Feb,-0.98,-2.92,14.75,36.0,38.43,-17.15,0.44,79.0,-0.275,14
15Y,Electrodes & Refractories,3,Mar,1.74,3.19,16.64,64.0,28.78,-45.16,1.12,86.0,0.957,14
15Y,Electrodes & Refractories,4,Apr,10.32,7.12,19.42,64.0,51.89,-12.56,8.08,79.0,5.212,14
15Y,Electrodes & Refractories,5,May,-0.07,-3.08,8.84,43.0,22.06,-12.21,-1.45,79.0,-0.025,14
15Y,Electrodes & Refractories,6,Jun,4.03,1.77,13.33,57.0,29.2,-12.13,2.22,57.0,1.315,14
15Y,Electrodes & Refractories,7,Jul,3.56,4.3,11.88,57.0,25.56,-17.66,1.31,79.0,1.601,14
15Y,Electrodes & Refractories,8,Aug,2.25,-0.02,9.86,50.0,22.52,-13.88,1.77,71.0,0.804,14
15Y,Electrodes & Refractories,9,Sep,1.97,2.4,9.46,57.0,24.41,-17.77,1.23,79.0,0.886,14
15Y,Electrodes & Refractories,10,Oct,5.64,3.74,13.46,64.0,43.17,-8.43,3.97,86.0,3.109,14
15Y,Electrodes & Refractories,11,Nov,2.71,1.3,9.81,64.0,24.67,-12.59,1.05,79.0,1.37,14
15Y,Electrodes & Refractories,12,Dec,5.28,7.04,9.06,71.0,18.39,-11.41,4.24,64.0,2.424,14
15Y,Tyres & Rubber Products,1,Jan,0.94,-1.42,10.88,40.0,24.74,-12.99,0.18,60.0,0.224,15
15Y,Tyres & Rubber Products,2,Feb,-2.3,-3.06,8.08,40.0,15.34,-15.51,-1.2,80.0,-0.735,15
15Y,Tyres & Rubber Products,3,Mar,3.08,2.66,12.13,73.0,28.6,-28.01,1.87,87.0,1.955,15
15Y,Tyres & Rubber Products,4,Apr,6.5,7.47,6.5,87.0,15.81,-5.2,4.51,67.0,3.757,15
15Y,Tyres & Rubber Products,5,May,0.46,-0.3,6.14,47.0,11.65,-10.66,-0.5,67.0,0.143,15
15Y,Tyres & Rubber Products,6,Jun,2.09,0.58,12.33,53.0,33.46,-17.36,0.2,73.0,0.818,15
15Y,Tyres & Rubber Products,7,Jul,4.79,3.45,8.72,73.0,22.53,-10.81,2.89,73.0,2.577,15
15Y,Tyres & Rubber Products,8,Aug,-0.47,-1.81,7.8,33.0,19.48,-11.96,-0.33,80.0,-0.126,15
15Y,Tyres & Rubber Products,9,Sep,6.26,5.1,12.66,87.0,36.56,-19.39,5.64,80.0,4.34,15
15Y,Tyres & Rubber Products,10,Oct,2.73,2.44,8.12,73.0,25.07,-9.02,0.66,80.0,1.604,15
15Y,Tyres & Rubber Products,11,Nov,3.82,1.39,8.76,60.0,23.12,-7.0,2.89,80.0,1.836,15
15Y,Tyres & Rubber Products,12,Dec,3.02,1.92,6.14,73.0,17.2,-5.78,2.33,60.0,1.328,15
15Y,Plastic Products - Industrial,1,Jan,0.57,-0.06,7.37,47.0,11.83,-14.26,-0.18,60.0,0.161,15
15Y,Plastic Products - Industrial,2,Feb,3.05,3.91,9.04,67.0,14.1,-14.72,4.14,67.0,1.355,15
15Y,Plastic Products - Industrial,3,Mar,2.01,1.85,9.76,80.0,16.73,-26.06,0.81,73.0,1.182,15
15Y,Plastic Products - Industrial,4,Apr,5.44,5.64,4.85,93.0,16.18,-2.87,3.45,73.0,3.725,15
15Y,Plastic Products - Industrial,5,May,6.02,6.73,9.17,67.0,25.07,-8.26,5.05,73.0,2.943,15
15Y,Plastic Products - Industrial,6,Jun,3.45,3.48,6.03,73.0,12.18,-7.19,1.56,67.0,1.689,15
15Y,Plastic Products - Industrial,7,Jul,1.38,2.61,4.9,53.0,8.03,-6.79,-0.52,67.0,0.492,15
15Y,Plastic Products - Industrial,8,Aug,3.25,2.23,6.52,67.0,15.24,-7.69,3.39,60.0,1.3,15
15Y,Plastic Products - Industrial,9,Sep,1.42,1.69,7.87,60.0,13.72,-14.21,0.81,73.0,0.626,15
15Y,Plastic Products - Industrial,10,Oct,0.91,0.42,6.38,53.0,16.52,-8.37,-1.17,73.0,0.355,15
15Y,Plastic Products - Industrial,11,Nov,1.15,-0.01,8.97,47.0,21.58,-19.98,0.21,87.0,0.464,15
15Y,Plastic Products - Industrial,12,Dec,2.02,1.35,5.61,60.0,13.57,-6.59,1.34,53.0,0.646,15
15Y,Holding Company,1,Jan,-0.92,-3.59,6.97,33.0,9.32,-11.18,-1.67,60.0,-0.183,15
15Y,Holding Company,2,Feb,2.89,0.35,9.94,53.0,28.84,-9.89,3.99,73.0,1.131,15
15Y,Holding Company,3,Mar,-1.96,-2.14,13.67,47.0,14.11,-44.75,-3.17,87.0,-0.794,15
15Y,Holding Company,4,Apr,5.16,5.24,4.33,87.0,13.26,-3.95,3.17,73.0,3.278,15
15Y,Holding Company,5,May,2.96,4.95,7.98,60.0,14.05,-10.34,2.0,60.0,1.066,15
15Y,Holding Company,6,Jun,3.99,1.0,8.68,53.0,23.12,-5.05,2.1,67.0,1.42,15
15Y,Holding Company,7,Jul,6.46,5.78,9.36,80.0,21.91,-11.39,4.55,67.0,3.443,15
15Y,Holding Company,8,Aug,2.92,2.0,4.95,73.0,13.97,-6.68,3.06,87.0,1.857,15
15Y,Holding Company,9,Sep,2.07,2.14,7.95,60.0,15.14,-13.3,1.45,67.0,0.827,15
15Y,Holding Company,10,Oct,3.28,3.88,7.23,60.0,18.68,-10.52,1.21,80.0,1.576,15
15Y,Holding Company,11,Nov,1.99,-0.4,10.92,47.0,31.25,-15.52,1.05,80.0,0.742,15
15Y,Holding Company,12,Dec,1.67,1.86,5.79,80.0,14.62,-7.8,0.99,73.0,0.979,15
15Y,Stockbroking & Allied,1,Jan,-6.24,-2.4,12.72,33.0,9.24,-22.8,-4.79,50.0,-1.04,6
15Y,Stockbroking & Allied,2,Feb,-2.24,-2.33,5.88,33.0,5.74,-11.44,-1.85,67.0,-0.497,6
15Y,Stockbroking & Allied,3,Mar,4.15,4.89,3.68,80.0,7.71,-2.07,1.49,80.0,2.657,5
15Y,Stockbroking & Allied,4,Apr,7.81,7.62,5.84,100.0,15.52,1.54,6.55,60.0,4.686,5
15Y,Stockbroking & Allied,5,May,0.41,-1.06,14.71,50.0,18.93,-15.15,0.17,50.0,0.103,4
15Y,Stockbroking & Allied,6,Jun,6.64,10.88,9.92,80.0,16.99,-8.6,4.8,60.0,3.189,5
15Y,Stockbroking & Allied,7,Jul,8.69,8.48,12.2,80.0,26.8,-7.56,6.11,60.0,4.172,5
15Y,Stockbroking & Allied,8,Aug,1.73,1.88,7.16,60.0,8.27,-9.01,-0.15,80.0,0.831,5
15Y,Stockbroking & Allied,9,Sep,1.16,1.65,2.53,80.0,3.97,-2.55,0.34,60.0,0.559,5
15Y,Stockbroking & Allied,10,Oct,8.88,7.35,7.51,100.0,21.08,1.59,8.1,83.0,7.397,6
15Y,Stockbroking & Allied,11,Nov,2.88,3.24,7.35,50.0,12.95,-7.52,-0.24,67.0,0.959,6
15Y,Stockbroking & Allied,12,Dec,1.37,0.23,7.7,50.0,13.82,-6.09,-0.66,83.0,0.57,6
15Y,Passenger Cars & Utility Vehicles,1,Jan,2.67,3.53,9.23,60.0,27.73,-10.02,1.91,73.0,1.176,15
15Y,Passenger Cars & Utility Vehicles,2,Feb,-1.27,-4.74,11.03,40.0,23.23,-18.67,-0.17,67.0,-0.337,15
15Y,Passenger Cars & Utility Vehicles,3,Mar,-0.02,2.03,12.45,60.0,16.5,-39.75,-1.23,87.0,-0.013,15
15Y,Passenger Cars & Utility Vehicles,4,Apr,6.11,7.4,9.1,73.0,28.88,-8.13,4.12,73.0,3.287,15
15Y,Passenger Cars & Utility Vehicles,5,May,2.35,1.46,7.24,73.0,15.21,-9.92,1.39,67.0,1.15,15
15Y,Passenger Cars & Utility Vehicles,6,Jun,4.68,3.29,7.72,87.0,24.96,-8.14,2.78,80.0,3.243,15
15Y,Passenger Cars & Utility Vehicles,7,Jul,3.5,3.22,6.69,87.0,14.48,-12.02,1.59,67.0,2.021,15
15Y,Passenger Cars & Utility Vehicles,8,Aug,3.18,3.17,9.49,50.0,15.89,-9.66,3.22,50.0,0.796,14
15Y,Passenger Cars & Utility Vehicles,9,Sep,3.78,3.22,7.67,80.0,17.64,-14.38,3.17,73.0,2.219,15
15Y,Passenger Cars & Utility Vehicles,10,Oct,0.61,0.39,5.12,60.0,10.99,-6.59,-1.46,60.0,0.221,15
15Y,Passenger Cars & Utility Vehicles,11,Nov,1.67,4.53,7.33,60.0,12.74,-17.28,0.73,80.0,0.803,15
15Y,Passenger Cars & Utility Vehicles,12,Dec,2.35,1.03,9.02,67.0,31.37,-6.03,1.67,93.0,1.461,15
15Y,Auto Components & Equipments,1,Jan,0.48,0.84,6.97,53.0,12.33,-10.4,-0.28,60.0,0.152,15
15Y,Auto Components & Equipments,2,Feb,0.93,0.62,8.45,53.0,17.14,-11.64,2.02,60.0,0.297,15
15Y,Auto Components & Equipments,3,Mar,0.94,0.87,11.2,60.0,16.22,-32.2,-0.26,80.0,0.452,15
15Y,Auto Components & Equipments,4,Apr,4.58,3.28,5.49,80.0,17.46,-2.0,2.6,60.0,2.2,15
15Y,Auto Components & Equipments,5,May,2.52,1.86,6.76,60.0,16.82,-6.24,1.55,73.0,1.107,15
15Y,Auto Components & Equipments,6,Jun,3.7,2.74,8.04,73.0,21.61,-6.19,1.81,60.0,1.63,15
15Y,Auto Components & Equipments,7,Jul,3.46,3.27,6.15,67.0,13.45,-11.23,1.55,80.0,1.845,15
15Y,Auto Components & Equipments,8,Aug,3.19,3.52,7.02,67.0,17.41,-8.95,3.33,73.0,1.562,15
15Y,Auto Components & Equipments,9,Sep,2.13,2.62,5.55,60.0,11.95,-9.04,1.52,73.0,0.937,15
15Y,Auto Components & Equipments,10,Oct,1.56,1.48,5.16,60.0,8.95,-8.24,-0.52,67.0,0.624,15
15Y,Auto Components & Equipments,11,Nov,3.2,3.2,6.71,80.0,16.71,-8.88,2.27,67.0,1.709,15
15Y,Auto Components & Equipments,12,Dec,2.16,2.69,4.51,73.0,7.79,-8.35,1.48,73.0,1.162,15
15Y,Industrial Products,1,Jan,-6.42,-5.6,9.3,25.0,3.96,-18.44,-4.88,50.0,-0.802,4
15Y,Industrial Products,2,Feb,-3.61,0.43,11.29,50.0,4.9,-20.18,-2.17,75.0,-1.353,4
15Y,Industrial Products,3,Mar,8.13,6.88,5.7,100.0,14.35,3.16,5.4,67.0,5.42,3
15Y,Industrial Products,4,Apr,3.43,4.1,1.31,100.0,4.26,1.92,0.5,67.0,2.284,3
15Y,Industrial Products,5,May,15.72,11.16,8.3,100.0,25.3,10.7,14.39,67.0,10.48,3
15Y,Industrial Products,6,Jun,8.19,4.82,10.8,67.0,20.28,-0.52,3.79,67.0,3.641,3
15Y,Industrial Products,7,Jul,5.06,4.23,6.96,67.0,12.4,-1.44,3.75,67.0,2.25,3
15Y,Industrial Products,8,Aug,1.84,3.05,5.31,75.0,6.69,-5.41,1.67,75.0,1.038,4
15Y,Industrial Products,9,Sep,1.14,-0.77,7.63,50.0,11.86,-5.74,0.82,75.0,0.428,4
15Y,Industrial Products,10,Oct,-1.01,-0.94,2.02,25.0,1.24,-3.42,-1.22,50.0,-0.127,4
15Y,Industrial Products,11,Nov,3.04,3.2,4.04,75.0,7.7,-1.95,0.23,50.0,1.138,4
15Y,Industrial Products,12,Dec,0.06,0.68,7.13,50.0,7.86,-8.98,-0.48,50.0,0.016,4
15Y,Non Banking Financial Company (NBFC),1,Jan,1.99,2.85,7.53,53.0,20.79,-8.71,1.24,73.0,0.78,15
15Y,Non Banking Financial Company (NBFC),2,Feb,1.54,0.14,8.28,53.0,26.22,-8.82,2.64,80.0,0.659,15
15Y,Non Banking Financial Company (NBFC),3,Mar,0.18,1.92,12.9,53.0,15.78,-39.72,-1.02,87.0,0.084,15
15Y,Non Banking Financial Company (NBFC),4,Apr,3.39,3.56,5.17,73.0,11.5,-3.89,1.4,53.0,1.324,15
15Y,Non Banking Financial Company (NBFC),5,May,1.55,1.66,8.44,60.0,15.88,-12.42,0.59,60.0,0.558,15
15Y,Non Banking Financial Company (NBFC),6,Jun,4.63,7.09,9.02,73.0,23.08,-13.65,2.74,73.0,2.491,15
15Y,Non Banking Financial Company (NBFC),7,Jul,3.21,5.35,8.14,67.0,14.6,-14.87,1.31,67.0,1.429,15
15Y,Non Banking Financial Company (NBFC),8,Aug,2.13,2.47,5.24,73.0,11.02,-8.08,2.27,67.0,1.04,15
15Y,Non Banking Financial Company (NBFC),9,Sep,2.14,2.47,7.54,60.0,11.77,-18.07,1.53,73.0,0.943,15
15Y,Non Banking Financial Company (NBFC),10,Oct,3.2,4.22,4.77,87.0,10.22,-10.55,1.12,80.0,2.215,15
15Y,Non Banking Financial Company (NBFC),11,Nov,2.81,2.86,9.32,73.0,26.82,-14.91,1.87,73.0,1.509,15
15Y,Non Banking Financial Company (NBFC),12,Dec,0.92,2.43,5.33,73.0,6.13,-14.45,0.23,87.0,0.582,15
15Y,Industrial Minerals,1,Jan,2.71,-0.78,12.7,40.0,25.07,-16.36,1.95,67.0,0.723,15
15Y,Industrial Minerals,2,Feb,-2.6,-4.34,11.65,40.0,18.56,-20.32,-1.51,67.0,-0.694,15
15Y,Industrial Minerals,3,Mar,0.67,0.41,15.77,60.0,25.24,-29.18,-0.53,67.0,0.269,15
15Y,Industrial Minerals,4,Apr,4.96,1.54,6.93,67.0,17.36,-3.61,2.97,60.0,1.984,15
15Y,Industrial Minerals,5,May,-0.46,-1.67,11.04,40.0,16.98,-17.2,-1.43,60.0,-0.112,15
15Y,Industrial Minerals,6,Jun,2.64,3.71,9.81,53.0,28.43,-11.49,0.74,87.0,1.22,15
15Y,Industrial Minerals,7,Jul,2.24,2.23,8.35,60.0,15.99,-14.64,0.34,67.0,0.897,15
15Y,Industrial Minerals,8,Aug,3.24,2.07,8.85,53.0,16.53,-12.76,3.38,60.0,1.036,15
15Y,Industrial Minerals,9,Sep,2.37,2.43,8.86,60.0,17.5,-17.97,1.76,73.0,1.045,15
15Y,Industrial Minerals,10,Oct,5.4,4.38,8.51,73.0,22.3,-8.99,3.32,67.0,2.639,15
15Y,Industrial Minerals,11,Nov,-0.36,-2.21,9.81,47.0,15.92,-17.97,-1.3,67.0,-0.111,15
15Y,Industrial Minerals,12,Dec,5.96,4.95,10.75,73.0,28.64,-11.08,5.28,67.0,2.913,15
15Y,Packaged Foods,1,Jan,-0.93,-2.66,6.43,40.0,10.43,-11.14,-1.69,53.0,-0.199,15
15Y,Packaged Foods,2,Feb,-1.24,-3.06,7.22,33.0,18.17,-11.14,-0.15,80.0,-0.331,15
15Y,Packaged Foods,3,Mar,1.97,3.38,6.63,67.0,12.56,-12.56,0.77,73.0,0.963,15
15Y,Packaged Foods,4,Apr,5.77,6.0,7.44,73.0,21.47,-3.55,3.78,67.0,2.819,15
15Y,Packaged Foods,5,May,3.06,2.4,5.58,67.0,16.49,-5.72,2.1,73.0,1.498,15
15Y,Packaged Foods,6,Jun,2.48,2.21,7.15,67.0,18.19,-9.75,0.59,67.0,1.104,15
15Y,Packaged Foods,7,Jul,4.54,5.37,7.57,73.0,22.15,-6.7,2.63,67.0,2.219,15
15Y,Packaged Foods,8,Aug,2.69,2.55,6.89,67.0,10.96,-11.85,2.83,67.0,1.197,15
15Y,Packaged Foods,9,Sep,2.99,3.16,8.56,53.0,14.26,-19.84,2.38,87.0,1.384,15
15Y,Packaged Foods,10,Oct,2.91,2.53,6.0,80.0,13.87,-9.18,0.83,73.0,1.706,15
15Y,Packaged Foods,11,Nov,1.44,-2.47,9.9,47.0,26.83,-11.31,0.5,80.0,0.539,15
15Y,Packaged Foods,12,Dec,0.54,-0.18,3.86,47.0,8.31,-5.75,-0.15,73.0,0.184,15
15Y,Computers - Software & Consulting,1,Jan,1.94,2.24,6.21,60.0,12.23,-7.74,1.18,60.0,0.697,15
15Y,Computers - Software & Consulting,2,Feb,-0.69,1.83,8.66,67.0,11.27,-14.43,0.4,67.0,-0.307,15
15Y,Computers - Software & Consulting,3,Mar,-0.77,-1.22,10.36,40.0,15.59,-29.62,-1.97,73.0,-0.226,15
15Y,Computers - Software & Consulting,4,Apr,1.56,1.3,7.26,67.0,17.65,-9.25,-0.43,67.0,0.692,15
15Y,Computers - Software & Consulting,5,May,3.02,2.51,5.84,73.0,13.88,-7.52,2.05,67.0,1.475,15
15Y,Computers - Software & Consulting,6,Jun,3.31,1.65,6.93,67.0,15.54,-7.49,1.41,60.0,1.323,15
15Y,Computers - Software & Consulting,7,Jul,4.67,5.18,9.26,73.0,25.6,-9.59,2.76,73.0,2.51,15
15Y,Computers - Software & Consulting,8,Aug,2.15,3.05,6.39,67.0,9.2,-14.92,2.29,73.0,1.051,15
15Y,Computers - Software & Consulting,9,Sep,1.15,-0.3,5.94,47.0,15.76,-6.96,0.54,80.0,0.43,15
15Y,Computers - Software & Consulting,10,Oct,2.5,0.8,4.82,67.0,10.31,-4.46,0.43,53.0,0.89,15
15Y,Computers - Software & Consulting,11,Nov,3.45,3.91,4.4,73.0,11.71,-6.09,2.52,80.0,2.027,15
15Y,Computers - Software & Consulting,12,Dec,3.93,2.11,6.09,73.0,15.1,-4.58,3.25,67.0,1.923,15
