ticker,pnl,reason,entry_date,exit_date
MINDACORP.NS,-3.409095727040095,Trail,2025-02-14,2025-02-27
MAHABANK.NS,-4.545444470012847,Trail,2025-01-27,2025-02-28
INDUSTOWER.NS,-8.152246182246943,Trail,2025-02-10,2025-02-28
LEMONTREE.NS,-5.731547897836197,Trail,2025-02-11,2025-02-28
IGL.NS,-4.43955686808612,Trail,2025-02-13,2025-03-03
CAMPUS.NS,-5.132516413734212,Trail,2025-02-14,2025-03-03
J&KBANK.NS,-8.137211140082266,Trail,2025-02-20,2025-03-03
MGL.NS,-4.974952633312731,Trail,2025-02-17,2025-03-04
CASTROLIND.NS,15.637497341173203,Target,2025-02-28,2025-03-06
AUBANK.NS,-9.038727202088012,Trail,2025-03-03,2025-03-12
HOMEFIRST.NS,-0.4417580214241221,Trail,2025-02-28,2025-03-28
M&MFIN.NS,-4.581782554143739,Trail,2025-02-11,2025-04-02
GODREJAGRO.NS,-2.6737159171132308,Trail,2025-03-03,2025-04-07
MGL.NS,-6.868691039296983,Trail,2025-03-06,2025-04-09
CHOLAHLDNG.NS,16.342168767222475,Target,2025-04-07,2025-04-15
LTF.NS,17.8643367203868,Target,2025-03-04,2025-04-17
SBFC.NS,16.995045332879034,Target,2025-02-27,2025-04-21
PCBL.NS,-9.568876637077993,Trail,2025-04-15,2025-04-25
MEDANTA.NS,-1.2906428775161887,Trail,2025-02-27,2025-04-29
MAHSEAMLES.NS,-8.252464755609408,Trail,2025-04-21,2025-05-02
M&MFIN.NS,-6.3950408708814495,Trail,2025-04-02,2025-05-06
UNIONBANK.NS,1.2590955945031432,Trail,2025-04-09,2025-05-06
SAPPHIRE.NS,-1.2708498808578237,Trail,2025-03-12,2025-05-07
HEG.NS,-8.924845783099098,Trail,2025-04-17,2025-05-08
BANKINDIA.NS,-6.444620747198012,Trail,2025-04-25,2025-05-08
AADHARHFC.NS,3.7895741725828818,Trail,2025-03-28,2025-05-09
MAPMYINDIA.NS,18.963237089209294,Target,2025-02-28,2025-05-12
UNIONBANK.NS,16.371027678689476,Target,2025-05-09,2025-05-28
APTUS.NS,-0.766256507424848,Trail,2025-03-03,2025-06-03
POONAWALLA.NS,16.695985453961686,Target,2025-05-06,2025-06-09
ABCAPITAL.NS,16.877495171031846,Target,2025-05-12,2025-06-09
IEX.NS,0.92988993385379,Trail,2025-05-08,2025-06-12
SAREGAMA.NS,-1.6694763054056865,Trail,2025-05-06,2025-06-18
ADANIENSOL.NS,-5.507113509007588,Trail,2025-05-07,2025-06-19
SJVN.NS,-9.683662713268216,Trail,2025-06-09,2025-06-19
MEDANTA.NS,-3.9310565630136693,Trail,2025-04-29,2025-06-20
RBLBANK.NS,17.718402190257745,Target,2025-06-03,2025-06-30
JIOFIN.NS,15.012315900287202,Target,2025-06-19,2025-06-30
DELHIVERY.NS,17.813193680710867,Target,2025-06-12,2025-07-09
FINPIPE.NS,-8.799997026741375,Trail,2025-06-19,2025-07-22
ENGINERSIN.NS,3.712080769220533,Trail,2025-06-20,2025-07-25
ZENTEC.NS,-10.180186616785045,Trail,2025-06-30,2025-07-25
YESBANK.NS,-8.039964306629788,Trail,2025-06-09,2025-07-28
PRESTIGE.NS,-2.7814648058434086,Trail,2025-06-30,2025-07-28
CESC.NS,2.954349671499145,Trail,2025-05-08,2025-08-01
RRKABEL.NS,0.6784302126553478,Trail,2025-06-18,2025-08-01
KEC.NS,-8.295157303221599,Trail,2025-07-09,2025-08-07
USHAMART.NS,-6.711545048126885,Trail,2025-07-25,2025-08-08
ELGIEQUIP.NS,-8.21536957384751,Trail,2025-08-01,2025-08-08
SUZLON.NS,-8.445786410723123,Trail,2025-08-01,2025-08-13
ZFCVINDIA.NS,15.076047659639785,Target,2025-05-02,2025-08-18
APARINDS.NS,-9.910270332056923,Trail,2025-08-13,2025-08-26
GMRAIRPORT.NS,0.17385434399762595,Trail,2025-05-28,2025-08-28
SOLARINDS.NS,-4.487622735444614,Trail,2025-08-08,2025-08-28
TBOTEK.NS,-4.50693580510409,Trail,2025-07-28,2025-08-29
KIRLOSENG.NS,-1.3559481501381767,Trail,2025-08-07,2025-08-29
KAYNES.NS,15.00081659317328,Target,2025-08-29,2025-09-08
NATIONALUM.NS,16.30260860743227,Target,2025-07-28,2025-09-12
KAJARIACER.NS,2.8536069914635065,Trail,2025-07-25,2025-09-22
CAPLIPOINT.NS,-3.3806412298323707,Trail,2025-08-08,2025-09-26
SWIGGY.NS,0.023779837455341145,Trail,2025-09-12,2025-09-26
SAMMAANCAP.NS,20.133180385127673,Target,2025-09-22,2025-10-01
KIRLOSENG.NS,-0.6010378252205048,Trail,2025-08-29,2025-10-06
MCX.NS,17.62479860419451,Target,2025-08-28,2025-10-09
SCI.NS,21.280289153218966,Target,2025-08-18,2025-10-23
TARIL.NS,-8.57916938536261,Trail,2025-09-26,2025-10-28
SAGILITY.NS,15.116540614340368,Target,2025-10-06,2025-10-29
SWIGGY.NS,-1.8671424998129862,Trail,2025-10-01,2025-10-31
BLUESTARCO.NS,-5.238294964952564,Trail,2025-09-08,2025-11-06
MMTC.NS,-9.180859711614895,Trail,2025-10-31,2025-11-21
KPIL.NS,1.1467095772291316,Trail,2025-07-22,2025-11-24
JBMA.NS,-8.834586466165414,Trail,2025-10-31,2025-11-24
TITAGARH.NS,-8.848337716509251,Trail,2025-11-03,2025-11-28
WELSPUNLIV.NS,3.4200424149687256,Trail,2025-11-24,2025-12-02
KPRMILL.NS,-7.509882376465105,Trail,2025-11-21,2025-12-03
AEGISLOG.NS,-8.059313840355545,Trail,2025-10-09,2025-12-05
AKZOINDIA.NS,-9.569309066235038,Trail,2025-08-28,2025-12-17
GRANULES.NS,16.446980339321854,Target,2025-09-26,2025-12-22
ANGELONE.NS,-9.737105852937113,Trail,2025-12-03,2025-12-29
APARINDS.NS,-6.443096281316706,Trail,2025-12-02,2026-01-01
VTL.NS,-5.133212314382646,Trail,2025-11-24,2026-01-08
ADANIGREEN.NS,-9.740505661328351,Trail,2025-11-28,2026-01-09
GRAVITA.NS,-8.471806047398529,Trail,2025-12-17,2026-01-09
WELSPUNLIV.NS,-9.326197872003608,Trail,2025-12-22,2026-01-09
DOMS.NS,0.43874145219865307,Trail,2025-08-26,2026-01-12
MOTHERSON.NS,4.678039685649884,Trail,2025-10-23,2026-01-19
BSOFT.NS,-6.423611111111111,Trail,2026-01-01,2026-01-20
NATCOPHARM.NS,-9.558097289246051,Trail,2026-01-08,2026-01-20
IEX.NS,-8.259404933146124,Trail,2026-01-12,2026-01-20
NH.NS,-6.420321982250483,Trail,2026-01-09,2026-01-22
JUBLINGREA.NS,-6.882474926680827,Trail,2026-01-09,2026-01-23
HYUNDAI.NS,-7.648508858215643,Trail,2025-11-06,2026-01-27
HEXT.NS,-6.130701108602981,Trail,2025-12-29,2026-01-27
IPCALAB.NS,-0.8224247961611475,Trail,2025-12-05,2026-01-28
IKS.NS,-7.269546439116289,Trail,2026-01-09,2026-01-29
BDL.NS,-15.528663424317307,Trail,2026-01-28,2026-02-02
