date,value
2024-07-01,2462403.180321847
2024-07-02,2489208.877892648
2024-07-03,2532695.770898019
2024-07-04,2556658.118493234
2024-07-05,2608411.721642648
2024-07-08,2581102.274377023
2024-07-09,2568488.9043819057
2024-07-10,2502837.3819893273
2024-07-11,2537121.423371163
2024-07-12,2509826.959812814
2024-07-15,2494710.8367049037
2024-07-16,2500118.89383381
2024-07-18,2456449.5954939662
2024-07-19,2426424.4877351774
2024-07-22,2470861.499331857
2024-07-23,2426910.7924837125
2024-07-24,2445491.2951875697
2024-07-25,2418829.732870675
2024-07-26,2424063.3797822963
2024-07-29,2512705.8888765345
2024-07-30,2563002.8674531947
2024-07-31,2552649.29329548
2024-08-01,2538661.4307466517
2024-08-02,2513834.8958955775
2024-08-05,2400158.6828273404
2024-08-06,2360773.4242824186
2024-08-07,2395254.8886458217
2024-08-08,2371469.196568185
2024-08-09,2381717.0354597867
2024-08-12,2405233.534162027
2024-08-13,2360153.732053262
2024-08-14,2362166.6244787993
2024-08-16,2424754.361714059
2024-08-19,2452836.7409590543
2024-08-20,2401344.5821358124
2024-08-21,2399230.3350960175
2024-08-22,2416288.6148201386
2024-08-23,2427781.5962196747
2024-08-26,2404057.7147041718
2024-08-27,2406352.9422279755
2024-08-28,2414924.8959175507
2024-08-29,2377710.5103688445
2024-08-30,2414900.214409372
2024-09-02,2392049.3909230437
2024-09-03,2415916.7388844695
2024-09-04,2406186.787834665
2024-09-05,2400807.6525197234
2024-09-06,2362546.525081979
2024-09-09,2350608.0499232877
2024-09-10,2371817.0683864225
2024-09-11,2363234.9945338834
2024-09-12,2402870.5602077115
2024-09-13,2440492.1230128873
2024-09-16,2457479.1078892914
2024-09-17,2482434.97168934
2024-09-18,2486473.3837834564
2024-09-19,2450128.5853978363
2024-09-20,2454335.3203526703
2024-09-23,2442884.9603989045
2024-09-24,2455152.529057962
2024-09-25,2458899.8202566924
2024-09-26,2445275.2899374785
2024-09-27,2455435.237728006
2024-09-30,2424503.287227518
2024-10-01,2420474.919078714
2024-10-03,2368264.878918344
2024-10-04,2331615.0898488252
2024-10-07,2206457.500458261
2024-10-08,2263235.183876535
2024-10-09,2311909.1977162566
2024-10-10,2303382.322823068
2024-10-11,2308673.730936586
2024-10-14,2335868.8966317764
2024-10-15,2365447.855219423
2024-10-16,2360894.4868875137
2024-10-17,2310004.581408388
2024-10-18,2291236.113248598
2024-10-21,2256104.479413759
2024-10-22,2137036.791439516
2024-10-23,2195405.9637265033
2024-10-24,2184501.607769472
2024-10-25,2129564.8441683976
2024-10-28,2160226.720511171
2024-10-29,2182180.0145480363
2024-10-30,2167128.4554904196
2024-10-31,2192303.5049090595
2024-11-01,2219306.6546588154
2024-11-04,2201594.594203493
2024-11-05,2223464.484096071
2024-11-06,2225294.3309582537
2024-11-07,2213792.0335034197
2024-11-08,2215186.767145998
2024-11-11,2188153.1507824725
2024-11-12,2153539.3397167986
2024-11-13,2087463.2717321797
2024-11-14,2083909.1660820027
2024-11-18,2072209.814415743
